,Job_Title,Company,Salary,Location,Full_Description
68,Quality Software Engineer Intern,Ping Identity,,"Denver, CO 80202","At Ping Identity, we're changing the way people think about enterprise security technology. With our innovative Identity Defined Security platform, we're helping to build a borderless world where people have total freedom to work wherever and however they want. Without friction. Without fear.

We're headquartered in Denver, Colorado, and we have offices and employees around the globe. And we serve the largest, most demanding enterprises worldwide, including over half of the Fortune 100. Because even in the most complex enterprise environments, security shouldn't be a source of anxiety. It should be one of your greatest competitive advantages.

We call this digital freedom. And it's not just something we provide our customers. It's something that drives our company. People don't come here to join a culture that's built on digital freedom. They come to cultivate it.

You will be an active member of an innovative and passionate team developing features and key extensions to a growing enterprise product platform for the market leader in Identity Security. There is a wide variety of work including API development, identity protocol implementation, authentication systems, security vulnerability mitigation, and performance optimizations at a large scale.

We seek a Software Quality Engineer intern who will be active in building and executing a suite of automated tests for assuring the quality of one of Ping’s strategic products. We require a passionate tester who flourishes in a fast-moving, agile environment, has good communications skills, an outstanding ability to translate requirements and designs to functional test plans, test cases and automated test suites.

Internship will begin during the fall semester.

Job Functions:

 Function as a solid individual contributor on a high output agile development team

 Analyze and elaborate on requirements

 Developing Test Cases and Test plans

 Development and execution of automated tests against the Test Cases

 Maintaining and extending the automation test framework

 Remain on the forefront of knowledge in the industry, and share learnings with other team members and with"
69,Entry Level Software Engineer,AECOM,,"Dahlgren, VA 22448","AECOM has an immediate need for Software Engineers to support the following programs in support of the Navy.

These positions may require support to any of the following tasks as required by contract: developing computer programs for scientific applications, including software design, coding, testing and debugging applications which are large enough to require coordination between multiple developers, and developing software modules in a structured environment where documentation, guidelines/standards, software audits, peer reviews, and other structured techniques are employed to enhance overall software quality.

Minimum Requirements

Education Requirements: Candidate must have a B.S. or equivalent scientific degree such as Computer Science, Mathematics, Physics, or Engineering. Offsetting experience may be substituted for the education requirement.

Specific Technical Requirements: Candidate must have at least 0-2 years of software development experience with either C++, J2EE or JAVA. Candidate must have experience in requirements generation, documentation, systems design, and software testing.

Candidates are required to have ability to obtain and maintain Secret Clearance.

Must be U.S. Citizen.

Preferred Qualifications

Active Secret Clearance

What We Offer

When you join AECOM, you become part of a company that is

pioneering the future . Our teams around the world are involved in some of the most cutting-edge and innovative projects and programs of our time, addressing the big challenges of today and shaping the built environment for generations to come. We ensure a workplace that encourages growth, flexibility and creativity, as well as a company culture that champions

inclusion, diversity and overall

employee well-being through programs supported by company leadership. Our

core values define who we are, how we act and what we aspire to, which comes down to not only

delivering a better world , but working to “make amazing happen” in each neighborhood, community and city we touch. As an Equal Opportunity Employer, we believe in each person’s potential, and we’ll help you reach yours."
70,IMO-SC Software Engineer,Intel,,"Santa Clara, CA 95052","Job Description
Software Engineers conduct or participate in multidisciplinary research and collaborate with design, layout and/or hardware engineers in the design, development, and utilization of productivity enhancement layout tools and design rule checkers, electronic data processing systems software. Determines computer user needs, advises hardware designers on machine characteristics that affect software systems such as storage capacity, processing speed, and input/output requirements, designs and develops compilers and assemblers, utility programs, and operating systems. Responds to customer/client requests or events as they occur. Develops solutions to problems utilizing formal education, judgement and formal software process.
Some of the job responsibilities are, but not limited to:
Work with process, integration and software engineers to develop, test, integrate, qualify and maintain software applications and hardware required to support mask development and production.
Manage cross-functional projects: allocating tasks, setting milestone, controlling cost, time and scope.
Effectively communicate, collaborate and align with team members and customers.
This is an entry level position and will be compensated accordingly.

Qualifications

You must possess the below minimum qualifications to be initially considered for this position. Relevant experience can be obtained through school work, classes and project work, internships, military training, and/or work experience.
Minimum Requirements:
Must have a B.S. or M.S in Computer Science, Computer Engineering, Electrical engineering or related field.
Minimum of 3 months of experience in Analytics, General Programming Skills, Database design, Security control, Software Design, Software Debugging, Software Versioning/control, Software Testing, Quality Assurance, Software Development Process, or Software Requirements.
At the Bachelors level this U.S. position is open to U.S. Workers Only. A U.S. Worker is someone who is either a U.S. Citizen, U.S. National, U.S. Lawful Permanent Resident, or a person granted Refugee or Asylum status by the U.S. Government. Intel will not sponsor a foreign national for this position.
Preferred Qualifications:
Minimum of 3 months of experience in:
Graphics Processing, IC Pattern Formats, CAD Tools for Verification, Fracture, OPC Software Engineering, EDA tools
Linux, C, C++, C# Languages, Script Programming using Perl/Python
Software Quality and Testing Practices, AGILE
Database Concepts, SQL and hardware platform architecture
Inside this Business Group
As the world's largest chip manufacturer, Intel strives to make every facet of semiconductor manufacturing state-of-the-art - from semiconductor process development and manufacturing, through yield improvement to packaging, final test and optimization, and world class Supply Chain and facilities support. Employees in the Technology and Manufacturing Group are part of a worldwide network of design, development, manufacturing, and assembly/test facilities, all focused on utilizing the power of Moore’s Law to bring smart, connected devices to every person on Earth

Posting Statement

All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance...."
71,Associate Software Engineer in Test,American Specialty Health,,"San Diego, CA 92121","American Specialty Health, Inc. is seeking an Associate Software Engineer in Test to join our growing organization. We are looking for creative and analytical problem-solvers to join one of our growing Consumer Technology teams and help us continue to improve our products and processes so that our members and customers can reach their goals. As a company that heavily relies on cutting-edge IT operations to serve its members, ASH is seeking ambitious individuals with a strong team mentality and a genuine passion for software engineering. Join a company where programming design and quality is expected, appreciated, and nurtured.
You are invited to learn more about American Specialty Health's events on our events page.
Responsibilities
Contribute to enterprise level testing of web applications
Writing test plans, test cases, test procedures
Design, develop and maintaining test automation tools
Develop White-box testing of applications
Create and maintain automation test data
Assists in code review
The depth and breadth of the projects will depend on the engineer experience and knowledge
Qualifications
Bachelor’s degree in an IT or computer or technical related field or equivalent experience. High school diploma required.
Minimum 1 year software test automation experience, including object oriented development, working with relational databases, and writing SQL queries or stored procedures or successful completion of Software Test Automation internship
Experience with software quality assurance procedures and processes
Experience with Selenium WebDriver or working with Web Services and APIs
Experience with Microsoft technologies such as ASP.Net, VB.Net, C#, SQL is a plus but not required
Completing tasks in a fast paced development cycle
Familiarity with software development life cycles such as Agile or SCRUM
Core Competencies
Demonstrated ability to interact in a positive, respectful manner and establish and maintain cooperative working relationships.
Ability to display excellent customer service to meet the needs and expectations of both internal and external customers.
Excellent listening and interpersonal communication skills to identify critical core competencies based on success factors and organizational environment.
Ability to effectively organize, prioritize, multi-task and manage time.
Demonstrated accuracy and productivity in a changing environment with constant interruptions.
Demonstrated ability to analyze information, problems, issues, situations and procedures to develop effective solutions.
Ability to exercise strict confidentiality in all matters.
Mobility
Primarily sedentary, able to sit for long periods of time.
Physical Requirements
Ability to speak, see and hear other personnel and/or objects. Ability to communicate both in oral and written form. Ability to travel within the facility. Capable of using a telephone and computer keyboard. Ability to lift up to 10 lbs.
Environmental Conditions
Usual office setting.
American Specialty Health is an Equal Opportunity/Affirmative Action Employer.
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex including sexual orientation and gender identity, national origin, disability, protected Veteran Status, or any other characteristic protected by applicable federal, state, or local law.
Please view Equal Employment Opportunity Posters provided by OFCCP here.
If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access our career center as a result of your disability. To request an accommodation, contact our Human Resources Department at (800) 848-3555 x6702.
ASH will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the Company’s legal duty to furnish information."
72,SOFTWARE ENGINEER,University of Washington,,"Seattle, WA","Notes: As a UW employee, you will enjoy generous benefits and work/life programs. For a complete description of our benefits for this position, please visit our website, click here.


As a UW employee, you have a unique opportunity to change lives on our campuses, in our state and around the world. UW employees offer their boundless energy, creative problem solving skills and dedication to build stronger minds and a healthier world.


UW faculty and staff also enjoy outstanding benefits, professional growth opportunities and unique resources in an environment noted for diversity, intellectual excitement, artistic pursuits and natural beauty. All of which has allowed the UW to be nationally recognized as a “Great College to Work For” for four consecutive years.


The Department of Psychiatry and Behavioral Sciences within the UW School of Medicine is the third largest clinical department within the School of Medicine with 285 full-time faculty members, 515 clinical faculty members, and over 200 staff. Department faculty provide clinical services in 5 hospitals, 14 primary care locations, and several outpatient sites in addition to telepsychiatry consultations to more than 150 clinics in Washington and beyond. As the only academic psychiatry department serving the five state WWAMI region (Washington, Wyoming, Alaska, Montana, Idaho), the Department’s highly competitive residency training program is largely responsible for developing the mental health workforce in the Pacific Northwest. The Department’s robust research portfolio totals $35 million in grants and contracts per year for projects ranging from clinical neurosciences to treatment development to health policy and population health. The Department is recognized as an international leader in developing, testing, and implementing Collaborative Care, an integrated care model increasingly seen as a solution for population-based mental health care. Other areas of excellence include Addictions, Autism, High Risk Youth, Neurosciences, and Trauma, and the Department is developing innovative new programs in Technology and Mental Health, Global Mental Health, Maternal and Child Mental Health, and Targeted Intervention Development.


The Department currently has an outstanding opportunity for an experienced SOFTWARE ENGINEER, online workflow, processes and platform developer. This position will provide solutions design, software development and applications support of various platforms such as SharePoint, Drupal, and Wordpress to advance the mission of the UW Department of Psychiatry and Behavioral Sciences. The developer will be responsible for ongoing maintenance as well as special computing projects that streamline operations, build efficiencies, and facilitate workflows. This position combines strong technical programming skills to develop multi-tiered web applications and collaboration tools primarily leveraging SharePoint as a platform to meet and extend the needs of end users. This position requires hands-on software development skills, technical expertise in designing and implementing secure, integrated enterprise-level solutions, strong communication skills, and experience in all phases of application innovation and development.


Advises the assistant director of IT, the assistant director of communications and department director on complex technical solutions for online workflow and processes.

Trusted to make independent and sound decisions.

Works independently as well as within teams and stakeholders made up of staff and faculty.

Assigned major department projects which affect all employees.

This position is a critical technical position to aid the department in updating its technology platforms and to bring in efficient workflows for business processes.


Responsibilities:


Technical Leadership: (75%)

Develops software solutions on various platforms (e.g. SharePoint, Drupal, WordPress) by studying requirements analysis and information needs.

Confers with stakeholders and IT Management; studies systems flow, data usage, and work processes; performs software design using software development fundamentals; and processes, debugs, tests, and deploys software solutions.

Elicits and evaluates information from multiple sources, reconciles conflicts and brokers consensus, decomposes high-level information into details, abstracts up from low-level information to a more general understanding, and distinguishes user requests from underlying true needs.

Understands how policies, systems and processes impacts requests/projects.


Project Support: (20%)

Strong team player and collaborates with faculty and staff to design and implement solutions that provide long term scalability, reliability, and performance.

Facilitates requirement sessions with stakeholders and creates comprehensive work products documenting -requirements, including validation and traceability of requests.

Develops business analysis work-plans for each project. Invests in stakeholder management and possesses ability to gain stakeholder trust, including senior level faculty and staff.

Has understanding of how projects align with broader department business and program goals.


Additional Duties as Assigned: (5%)

Initiates and executes initiatives to improve the processes, procedures, and tools utilized by the team. Reviews deliverables and provides input for other technical support staff.


Responsibilities:

Technical workflow of intranet and websites of department


Minimum Requirements:

Bachelor’s Degree in Computer Science or related field; or equivalent combination of work experience and technical training to demonstrate competency.

Minimum five years of experience developing software solutions. A combination of education and experience can substitute for experience.

Proficiency and working experience with SharePoint 2010, 2013 or 2016, SharePoint Designer, Search, MS Office 365, Wordpress and Drupal. Microsoft SharePoint Certifications a plus.

Knowledge of out of the box features for creating webpages, forms, and workflows. Knowledge of SharePoint Designer, InfoPath, Visual Studio, and PowerShell.

Proficiency in Web UI development technologies and frameworks such .NET, C#, REST, JavaScript, jQuery, HTML5, and CSS3.

Excellent written, verbal, and listening skills. Highly competent in strategic thinking. Ability to train users on new processes and programs.

Demonstrated ability to collaborate with others, work on interdisciplinary teams, build relationships, and mentor team members. Experience adjusting to changing needs and requests.

Detailed, organized, and results-oriented.


Desired Requirements:

Master's degree in computer science

Certified in Nintex with proven ability to design and implement business solutions

Graphic design


Working Environmental Conditions:

This position requires the employee to work beyond a normal workweek with some evening and weekend work required to meet deadlines. Expected to travel to various departmental office locations located throughout the greater Seattle area."
73,Software Engineer - Intern,"RetailMeNot, Inc.",,"Austin, TX 78701","We are a leading digital savings destination connecting consumers with retailers, restaurants and brands, both online and in-store. We get to enable our consumers across the globe to find hundreds of thousands of digital offers to save money while they shop or dine out.

We’re looking for hardworking new graduate computer scientists to join our team. At RetailMeNot, you will receive mentorship, grow your skills and your career, all while driving our company to deliver on our vision. The software we create at RetailMeNot typically involves working with mobile, web, or data technologies that scale for millions of users. As a new engineer, you’ll be able to focus on one or more of these technologies and grow your career, and you'll have a ton of opportunity to deliver impact your team and the business.

Do you enjoy learning new technologies? Are you committed to building software that delivers relevant, meaningful experiences to millions of people? Do you love building scalable, performant, and maintainable software? If your answer is “yes,” we need skilled engineers like you, who flourish in a dynamic culture and are laser-focused on delivering results by quickly iterating on prototypes and taking them into production.

Are you up for the challenge?
What Sets You Apart:
You are passionate about solving complex technical problems at scale
You believe you can automate anything and everything with code
You enjoy being on a team and helping the people around you succeed
You have high standards in everything you do and a high attention to detail
You look forward to working in a fast-paced, agile environment
You believe in constantly learning new technologies
You love achieving great results
Who We Are:
We have an open environment where engineers are given a lot of responsibility and the freedom to make a huge impact
We have lots of intelligent people to work with and learn from
We work on large scale challenges with a variety of technologies
We'll provide you with food, food, and more food
We believe in giving prizes, bonuses, and recognition for doing what you enjoy

Rewards*
We offer an opportunity to be an integral part of a company that eagerly pursues disruption in its space to continue to drive innovation and lead the competition. Benefits of being an employee of RetailMeNot, Inc. include, but are not limited to the following:
Competitive base & bonus packages; salary negotiableLong Term Incentive PlanPerformance based rewards & recognition for your hard work and serviceVery competitive benefits packages, including best-in-class parental leaveOpen & flexible PTOCell phone & gym membership reimbursementsFully stocked break room & onsite catered breakfasts & lunches multiple days/week
Some rewards do not apply to contract workers or interns.

About Us
RetailMeNot, Inc. is a leading savings destination bringing people and the things they love together through savings with retailers, brands, restaurants and pharmacies. RetailMeNot makes everyday life more affordable through online and in-store coupon codes, cash back offers, discount gift cards, and the RetailMeNot Genie browser extension. Savings are also provided in consumers’ mailboxes through the RetailMeNot Everyday™ direct mail package, and at the pharmacy with RxSaver by RetailMeNot.

RetailMeNot is a wholly owned subsidiary of Harland Clarke Holdings. http://www.retailmenot.com/corp or follow @RetailMeNot on social media.

U.S. Equal Employment Opportunity/Affirmative Action Information
Individuals seeking employment at RetailMeNot, Inc. are considered without regards to race, color, creed, religion, gender, gender identity, national origin, citizenship, age, sex, marital status, ancestry, physical or mental disability, veteran status, sexual orientation, or any other protected classification. You are being given the opportunity to provide the following information in order to help us align with federal and state Equal Employment Opportunity/Affirmative Action record keeping, reporting, and other legal requirements."
74,Software Engineer I,Transform SR Holding Management LLC,,"Hoffman Estates, IL 60192","The Software Engineer I creates and designs new software, applying theoretical principles of computing and mathematics in order to analyze, test and assess software systems. The Software Engineer I evaluates user needs while designing and testing new software to meet those needs. This may involve analyzing and developing flow charts, models, diagrams and algorithms in addition to coding or modifying software. This position researches and develops new technologies and processes/algorithms, and introduces them to the enterprise as needed to improve revenue and customer satisfaction.

Job Duties/Responsibilities:

Develops and implements software for ecommerce applications and related technology.
Delivers code that meets specifications, creates little to no operational support overhead and requires minimal support during development from more senior engineers.
Creates self-documenting designs and/or clearly communicates intent via comments in code, on specifications, in as-built documentation and during code reviews.
Writes unit and integration tests for each deliverable, effectively and comprehensively exercising the code; prevents the introduction of subsequent bugs, and corrects existing bugs or design issues when discovered.

Job Requirements:

Bachelor's Degree in Computer Science, a related technical or scientific field, or equivalent experience
Solid knowledge of algorithms, data structures and complexity theory
Solid knowledge on OO design
Ability to effectively write so requirements are clear and readily understood.

"
75,Software Engineer (100% Remote),Ascensus,,United States,"We are looking for a C#/VB .NET developer with Kofax Capture Scripting experience. Your responsibilities will be to design and develop Kofax Capture validation scripts, custom panels and export connectors as well as customized .NET Applications that can be easily plugged in with content management systems. You will be coordinating with the rest of the team working on different layers of the infrastructure. Therefore, a commitment to collaborative problem solving, sophisticated design, and quality product is essential.
Responsibilities
Translate application storyboards and use cases into functional applications
Design, build and maintain Kofax customizations. Strong understanding Kofax Capture architecture is a must
Design, build, and maintain efficient, reusable, and reliable C# code
Ensure the best possible performance, quality, and responsiveness of applications
Identify bottlenecks and bugs, and devise solutions to these problems
Identify application written in VB6/SBL. Design and develop solutions to migrate VB6 application to .NET framework.
Skills
Proficient in C# or VB .NET, with a good knowledge of its ecosystems
Familiarity with the .NET framework 4.5 and above
Strong understanding of object-oriented programming
Familiar with various design and architectural patterns
Familiarity with Microsoft SQL Server, oracle, mysql
Experience in RESTful API
Understanding fundamental design principles behind a scalable application
Creating database schemas that represent and support business processes
Implementing automated testing platforms and unit tests
Proficient understanding of code versioning tools
Proficiency in Kofax Capture systems and API frameworks in kofax is strongly desired
Implementation and Support
Work with Operations groups to ensure applications are successfully migrated to production.
Provide application maintenance and support as required.
Resolve production problems according to Service Level Agreements.
Leverage tools and methods necessary to understand root cause and recommend options for correction.
Teamwork
Communicate and collaborate positively and effectively with teammates and client representatives to accomplish work objectives.
Education Requirement
Education Requirement 4-year college degree, preferably in Computer Science
Experience Requirement
3-10 years related experience in programming or systems analysis with indications of more technical aptitude
Kofax Capture API experience is a must


Ascensus is a place to have a career, not just a job. As the largest US independent retirement and college savings services provider, we put our focus on people. Our culture is guided by sound principles, is committed to high standards, operates with transparency, and welcomes diversity. When you join our team, you get to go to work every day knowing that you help over 6 million Americans save for retirement and college.


Ascensus is an Equal Opportunity Employer and does not discriminate on the basis of race, color, creed, national origin, ancestry, religion, age, citizenship, sex, marital or veteran status, disability or handicap, sexual orientation or any other basis prohibited by applicable law. Ascensus also takes affirmative action to employ, and advance in employment, qualified women, minorities, and covered veterans. Ascensus also makes reasonable accommodations for qualified individuals with disabilities, in accordance with the Americans with Disabilities Act and applicable state laws"
76,Software Engineer (multiple openings),Prosper Funding,,"San Francisco, CA","What You Will Do

As a member of our Engineering team, you will be implementing scalable, highly available, and secure micro-services with RESTful APIs and Web apps using Angular/React. The ideal candidate is passionate about learning the Fintech domain and delivering cutting-edge, high-quality solutions to solve business problems. We utilize a progressive, test-driven, Agile development methodology that places a high premium on communication, teamwork, sound design and clean implementation.


Our developers work as a self-managed SCRUM teams and commit to deliveries as a team. Technology versatility is a critical success factor for the developers. Being able to stretch beyond one’s specialty by learning new technologies fast and contributing to the team’s goal is highly valued. Prosper’s team culture encourages teamwork and development of well-rounded developers who have a holistic view of the problems and solution designs. Above all other factors, we are looking for smart, driven candidates who want to be part of a culture of innovation and creativity as we develop and define the peer-to-peer lending marketplace!


Levels we're hiring for: Engineer, Senior Engineer, and/or Staff Engineer
What You Will Need To Have

BS or MS in EE/CS or other applicable discipline
Solid understanding of computer science fundamentals such as algorithms, OO design, and distributed systems architecture
Ability to design and build RESTful services from day one
Solid hands on experience with Java and Relational databases (SQL), AND/OR…
Solid hands on experience with React, Angular, JavaScript, HTML, CSS, Nodejs, GraphQL, and Relational Databases (SQL)
Secondary skills and experiences in Spring Boot, Spring, Hibernate, JPA, JMS, and/or Kotlin


A Few Things to Know About Us

 We offer an excellent compensation and benefits plan, including incentive bonuses, stock options, company-paid health, dental, and vision insurance, paid vacation time, 401(k) with employer-match, fitness reimbursement, commuting reimbursement, and more!


At Prosper, we're looking for people with passion, integrity, and a hunger to learn. We encourage you to apply even if your experience doesn't precisely match the job description. Your unique skill set and diverse perspective will stand out and set you apart from other candidates. Prosper thrives with people who think outside of the box and aren't afraid to challenge the status quo. We invite you to join us on our mission to advance financial well-being.


Prosper is committed to an inclusive and diverse workplace. All aspects of employment including the decision to hire, promote, discipline, or discharge, will be based on merit, competence, performance, and business needs. We do not discriminate on the basis of race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression, veteran status, or any other status protected under federal, state, or local law, including the San Francisco Fair Chance Ordinance. Prosper will consider for employment qualified applicants who are non-US citizens and will provide green card sponsorship."
77,Software Engineer I,CDK Global,,"Portland, OR 97201","Accelerate Your Career
Drive global technology

With more than $2 billion in revenues, CDK Global is a leading global provider of integrated information technology and digital marketing solutions to the automotive retail and adjacent industries. Focused on enabling end-to-end automotive commerce, CDK provides solutions to dealers in more than 100 countries around the world, serving approximately 28,000 retail locations and most automotive manufacturers. CDK Global solutions automate and integrate critical processes from pre-sale targeted advertising to the sale, financing, insurance, parts supply, repair and maintenance of vehicles, with an increasing focus on utilizing data analytics and predictive intelligence.

We’re large enough to make a difference but small enough for your voice to be heard. This means that we are an organization where every person matters. You can make an impact on the success of our business and that of our customers regardless of what career you decide to pursue.

From data scientists to sales and client service experts, we’re hiring to support your growth and ours - Green light your career.
Roles & Responsibilities:

Performs basic design, development, testing, documentation, and analysis of various software applications.
Performs well-defined application development tasks of a low to moderate degree of complexity, focusing on basic product enhancements and testing solutions for identified issues.
Participate in the development lifecycle with a focus on developing new features and functionalities for assigned software applications
In conjunction with developement team, estimate, develop, and implement user stories
Make recommendations on how software features and functionality can best be utilized by the end-user
Work with senior engineers to define data arcitecture and integrate work
Assess issues and follow establish protocol for problem resolution
Directs and guides clients through resolution of technical issues
Attends training courses as required and stay abreast of evolving internal processes and industry developments
Applies problem-solving skills to provide customer support to resolve escalations
Works in a team environment
Provides other ad hoc support and duties as assigned

Skills Needed:
Degree or equivalent work experience with a technical profile and a bias to computer science and/or mathematics
Knowledge of software development in a languages such as ASP, PHP, javascript, shell
Knowledge of tools such as React, AngularJS
Basic knowledge of XML, HTML
Be able to demonstrate the ability to organize and present complex solutions clearly and accurately.
A working knowledge of current operating systems (UNIX, LINUX, MS Windows etc.).
Experience to good understanding of working with Atlassian tools such as git, jira, etc.
An appreciation of Scrum based Agile development methods and processes.
An ability to work to pre-defined timescales.

CDK Global knows you have passions outside of work. You have family, friends, sporting events, and lots of things going on. That’s why we offer a comprehensive benefits package to not only take care of you but your family as well. All of our benefits are effective the first day of employment including 401K matching, paid time off to re-energize, donate your time to volunteer in your community, and tuition reimbursement to name a few.
At CDK, we pride ourselves on having a diverse workforce. We value and celebrate the uniqueness of individuals and the different perspectives they provide. We offer equal opportunity employment regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, or protected veteran status."
78,Junior Software Engineer,Raytheon,,"Pasadena, CA 91107","Raytheon Pasadena is seeking a Jr. Software Engineer to support software development team and instrument operations team in support of the project.

Will be responsible for development of scripts in support of instrument operation tasks that involve monitoring instrument status and tracking performance; generating daily plots; preparing command plans and presenting at operational reviews. Will automate tasks where applicable and maintaining instrument and ground operations related tools utilizing IDL and/or scripting languages. Will work with instrument engineers to maintain scripts that monitor engineering limits and assist in analyzing calibration results. Participate in regular science meetings and reviews.

Job duties include, but not limited to:

Collaborate with instrument engineers and science team members to resolve anomalies.
Applies general knowledge of analytical and numerical methods as well as statistical processes.
Works with software development team to develop algorithm supporting the project.
Document changes to instrument procedures consistent with operational constraints.
General understanding and application of software development techniques.

Required Education:

Requires a Bachelor’s degree in Computer Science, Math, Electrical Engineering, Aerospace Engineering, Physics, or other STEM discipline; with two years of experience.

Required Skills
Experience with Unix/Linux operating system environments.
Professional work experience programming in C/C++, Python and Java
Some knowledge in one or more of the following areas: IDL, shell, scripting languages.
General understanding and application of standard principles, theories, concepts and techniques in software engineering field and knowledge of the software lifecycle.
Strong written and verbal communication skills and ability to work in a team environment.

Desired Skills:

Understanding of the software lifecycle and experience developing/testing software tools and applications.
Experience working with instrument and/or spacecraft operations teams.
Mission operations experience that involved tracking performance, conducting data analysis, and preparing and issuing commands.
Experience using scripting or programming languages to support data processing and task automation.
Knowledge of operational data processing systems, especially understanding of concepts of operation and data processing.
Ability to perform detailed analysis at times under pressure.
Ability and willingness to learn new software skills as needed to perform project tasks.

Work Location:
Location for this position is in Pasadena, CA

This position requires a U.S. Person who is eligible to obtain any required Export Authorization.
144687
Raytheon is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status."
79,Full Time Opportunities for Students or Recent Graduates: Software Engineering & Program Management,Microsoft,,"Redmond, WA","Software engineers at Microsoft are passionate about building technologies that make the world a better place. At Microsoft, you will collaborate with others to solve problems and build some of the world's most advanced services and devices. Your efforts on the design, development, and testing of next-generation applications will have an impact on millions of people.

Do you want to work on a meaningful and impactful project and make a difference?
Are you willing to learn from others and open to new ideas?
Do you want to support others to succeed and operate in a highly-collaborative and global environment?
If this sounds like you, Microsoft would like to invite you to come join us as you are, where you can find more than just a job.
Read on to learn more about opportunities and apply online!

Applications to these opportunities are considered for all available Software Engineering roles including the ones described below, depending on education level and/or location. To be considered for a position for students and recent graduates, you need to be enrolled full-time as a student within 12 months from graduation majoring in an applicable field or graduated within last 12 months majoring in an applicable field.

Program Manager
Program Managers (PMs) are the in-house advocates for millions of people worldwide who predict and research how software is used and work closely with Software Engineers (SWEs) to ensure our products exceed people's expectations.

Software Engineer
Software engineers (SWEs) collaborate with a committed team to design, develop and test the next generation of technology solutions for millions of people.
Responsibilities
Program Manager
Program Managers are typically responsible for specific features in our technology solutions for the full product cycle. You work on the initial feature planning and design, manage the specifications and timeline of their development, and monitor their on-going operation to better understand customer experiences. You work collaboratively with team mates to ensure our products exceed customer expectations. You communicate throughout the process to understand progress towards delivery, technical challenges, and to provide clarity on customer needs using a data driven approach. You will be expected to demonstrate an ability to learn and adopt relevant new technologies, tools, methods and processes to leverage in your solutions. As a Program Manager, you are dedicated to building software to empower every person and organization on the planet to achieve more.

Software Engineer
Software engineers (SWEs) work with teammates to solve problems and build innovative software solutions. You are passionate about customers and product quality, and you provide technical guidance to Program Managers as they consider user needs and product requirements. You will also be expected to demonstrate an ability to learn and adopt relevant new technologies, tools, methods and processes to leverage in your solutions.
As a SWE, you are dedicated to building software to empower every person and organization on the planet to achieve more.
Qualifications
Program Manager
A bachelor's or master's degree in engineering, computer science or related field (12 months of graduation or graduated within the last 12 months).
A year or two of experience programming in C++, Java or other computer programming languages preferred.
Some experience building software beyond the classroom environment like an internship or related experience for customers strongly preferred
Ability to demonstrate understanding of computer science fundamentals that affect code implementation and customer experience
Demonstrated ability in feature definition, design and feasibility
Familiarity with managing complex project schedules and nurturing cross-group collaboration.
Demonstrated ability in estimating development time and relevant challenges to delivery.
Strong written and verbal communication skills and a desire to create an open and collaborative team culture
Demonstrated skills in negotiation and conflict management.

Software Engineer
A bachelor's or master's degree in engineering, computer science or related field 12 months of graduation or graduated within the last 12 months.
A year or two of experience programming in C++, Java or other computer programming languages preferred.
Ability to demonstrate understanding of algorithms, data structures and other systems architecture factors that affect code quality, performance and customer experience
Some experience building software outside of the classroom environment like an internship, hackathon, research project or related experience preferred
Demonstrated skill in time management and completing software projects in a cooperative team environment

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
