,Job_Title,Company1_Info,Company2_Info,Company3_Info,Location,Full_Description
33,"Database Administrator (MSSQL in OLTP environment, T-SQL)",29 reviews,CruiTek,CruiTek,"Nashville, TN 37210","Full-time Direct Hire in Nashville, TN. Must be onsite, no remote and no corp-to-corp applicants considered. Salary range is 80-100K plus full benefits, PTO, and potential bonus.

We need are looking preferably with Microsoft SQL Server experience in an OLTP database environment.


SUMMARY

The role of the Database Administrator is to provide a seamless flow of information throughout the company, considering both backend data structure and frontend accessibility for end-users. They ensure that all company databases are maintained, secure, available, and operating efficiently at all times.

Two (2) or more years of database administration experience, MSSQL preferred.
Two (2) or more years of database development experience, TSQL preferred.



ESSENTIAL FUNCTIONS:
Maintains database performance by calculating optimum values for database parameters; implementing new releases; completing maintenance requirements; evaluating computer operating systems and hardware products.
Establishes baseline performance data to ensure databases are performing efficiently.
Maintenance of table indexes, statistics and any other related metrics to diagnose performance related issues.
Develops scripts, functions, ETLs, queries and stored procedures to support external employee and/or company data requirements.
Disaster recovery procedure documentation and routine testing to comply with service agreements.
Responsible for data security through the management of access and privileges.
Continual evaluation of new tools and technologies to analyze user needs and present findings to management.
Analyzes and evaluates policies and procedures followed by the department to propose new policies/procedures and/or revisions to existing policies/procedures to ensure maximum operational efficiency.
Recommends solutions by defining database physical structure and functional capabilities, database security, data back-up, and recovery specifications.
Ensures compliance with Federal regulations, state statutes, bankruptcy laws, FDCPA and all other applicable laws and regulations governing activities.
Performs other duties as assigned.

QUALIFICATIONS

To perform this job successfully, an individual must be able to perform each essential function satisfactorily, with or without reasonable accommodation. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.


KNOWLEDGE REQUIREMENTS
Database software development.
Database structure, design and information gathering.
Proven ability to organize and maintain fluid information.
Excellent verbal and written communication skills.
Skill in communicating in a professional, pleasant manner.
Well organized and detail-oriented.
Ability to manage time and effectively multi-task.


LANGUAGE SKILLS
Ability to converse and respond to common inquiries from senior management as well as all other internal customers.
Ability to write business-related documents such as letters, emails and other business correspondence as needed."
34,Database Administrator,"V-Tech Solutions, Inc.","V-Tech Solutions, Inc.",save job,"Washington, DC","V-Tech Solutions, Inc. is seeking a qualified database administrator. Someone who has expert knowledge of the Structured Query Language (SQL) environment with particular emphasis on planning, analysis, design and implementation of reports and report interfaces intended for the end user.
DATABASE ADMINISTRATOR

Responsibilities:

Plans, organizes and implements projects in support of the District's growing information demands
Ensure the effective use of the District's resources
Contributes to policies for effective process planning as it relates to new requirements
Participates in short-term tactical planning implementation
Contributes to long-term strategic planning

Requirements:

Expert knowledge of the Structured Query Language (SQL) environment with particular emphasis on planning, analysis, design and implementation of reports and report interfaces intended for the end user
Hands-on experience with database standards and end user applications
Problem solving skills and ability to think algorithmically
Familiarity with , documentation and coding

Education/Certification Requirements: Bachelor's degree in Information Technology or related field or equivalent experience
Work Location: Washington D.C."
35,Database Administrator,486 reviews,"$47,600 - $70,000 a year",University of Utah,"Salt Lake City, UT","Provide operational support to maintain databases for the Utah Transportation and Public Safety – Crash Data Initiative in the Civil and Environmental Engineering Department at the University of Utah. This position requires fulfilling database administration responsibilities including: installation of new software releases and system upgrades, evaluation and installation of patches, resolving software related problems, addition of store procedures and management of multiple instances across servers, performing system backups and recovery, and maintaining data files and monitoring system configuration to ensure data integrity.
Responsibilities
Manage and maintain SQL databases located in multiple instances across servers. Develop stored procedures and create T-SQL statements as part of database management activities, and establish and execute protocols for backup and recovery. Manage user permissions and control row-level database access following content management system rules. Respond to service requests generated by system users and as authorized by a supervisor. Works under general supervision. A certain degree of creativity and latitude is required. Typically reports to a manager. This job description is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to the job.

This job description is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to the job.
Work Environment and Level of Frequency typically required
Nearly Continuously: Office environment.
Physical Requirements and Level of Frequency that may be required
Nearly Continuously: Sitting, hearing, listening, talking.
Often: Repetitive hand motion (such as typing), walking.
Seldom: Bending, reaching overhead.
Minimum Qualifications
Requires a bachelor’s degree in a related area or equivalency and 2-4 years of experience in the field or in a related area.

Applicants must demonstrate the potential ability to perform the essential functions of the job as outlined in the position description.
Preferences
MS SQL certifications towards a MCSA (Microsoft Certified Solutions Associate). Knowledge of programming languages, such as JavaScript and Python.
Type Benefited Staff Special Instructions Summary"
36,Database Administrator,,America First Credit Union,America First Credit Union,"Ogden, UT","Overview
Administers, maintains and implements policies and procedures for ensuring the security and integrity of the company database. Implements data models and database designs. Controls data access via software configuration and authentication/authorization of user specific security. Resolves database performance issues, database capacity issues, replication, and other distributed data issues. Analyzes database architecture to ensure that company goals are being met with respect for data backup policies, appropriate patch updates, and overall database management. Familiar with standard concepts, practices, and procedures within a range of database vendors and products.

Must be familiar with standard concepts, practices, and procedures within a range of database vendors and products; however, the emphasis of this position will be Oracle with experience using Exadata - preferably with 5+ years of experience.
Responsibilities
1. Assumes responsibility for effectively coordinating and performing the analysis, design, and maintenance of database systems at a technical level.

a. Analyzes database requirements and pursues implementation of a relational database design at a physical level. Responsible for the creation of the storage structure definitions. In addition, must also define the associated mapping between the internal and conceptual schemas. Analyzes, reviews, and enhances the architecture to increase operating efficiency or adapt to new requirements.
b. Performs a variety of administration tasks including documentation, analysis, and coding of database objects including business logic for custom applications. Maintains the database and data communication system. Supports 3rd party database needs.
c. Prepares program test data, analyzes test results, and specifies data control procedures for refreshing development, test, and training environments.
d. Reviews internal software operating systems and performs the more involved system maintenance and updates, such as revising application programs to interface with changes in the operating system.
e. Produces comprehensive diagrams and charts to represent current and proposed systems and their interrelations with one another. Prepares program specifications to communicate system and program designs to others.
f. Monitors and tests backup and recovery procedures. Responsible for ensuring data backups are archived and sufficiently recoverable for both complete and point-in-time recovery.
g. Maintains systems' integrity and performance.
h. Maintains documentation.

2. Assumes responsibility for establishing and maintaining good communication and coordination with developers and end users.
a. Responds to both developer and user requests and follows through promptly.
b. Resolves problems and concerns. Provides assistance, support, and training to users as required. Ensures that database structures meet developer requirements and are completed on schedule.
c. Ensures that interactions with users are clear, courteous, and understandable.
d. Communicates as much information as possible to developers/users, including reasons for problems, project status, and deadlines.
e. Acts as a consultant and resource to developers, users, management and focus groups.

3. Assumes responsibility for establishing and maintaining effective communication, coordination, and working relations with area staff and management.
a. Keeps management informed of significant problems and of progress attained in reaching established objectives. Provides recommendations to establish new and/or more effective database designs including future equipment needs.
b. Assists and supports Information Systems personnel as needed. Coordinates, directs, and trains others as needed.
c. Prepares reports of data growth and performance issues, discussing changes and their ramifications. Completes records and other required documents.
d. Attends and participates in meetings and committees as required.

4. Assumes responsibility as liaison between out-source resources and Credit Union staff.
a. Develops specifications for out-sourced contracts. Prepares and issues Request for Proposal (RFP) to out-source vendors.
b. Evaluates responses to RFPs. Recommends vendor selection and monitors compliance to vendor contract commitment.
c. Provides project management for the Credit Union on out-sources projects to ensure compliance to vendor contract commitment, integration with Credit Union information systems, adequate back-up and recovery procedures, documentation, and audit ability.
d. Responds to vendors requests and follows through promptly.
e. Resolves problems and concerns. Provides assistance, support and training to vendors as required.
f. Ensures that interactions with vendors are clear, courteous and understandable.
g. Acts as technical liaison between vendors and Credit Union staff and managers.
h. Communicates as much information as possible to vendors, management and users, including reasons for problems, project status and deadlines.

5. Assumes responsibility for related duties as required or assigned.
a. Stays informed of changes in database administration and computer technology.
b. Keeps work area clean, secure, and well-maintained.
c. Completes special projects as assigned.
Qualifications
Training/Education/Certification:

College degree in computer science or related field or an equivalent combination of education training, and experience.

Required Knowledge:

Understanding of Credit Union operations and information needs.
Thorough understanding of data architecture and information systems.
Knowledge of business software applications.

Experience Required:

At least 5 years of related experience, preferably in a financial environment.
Experience using Windows, Linux, & Unix operating systems
Knowledge and experience in Oracle, DB2 UDB, MS-SQL Server, & MySQL.
Adequate SQL knowledge
Understanding of relational database architecture.
Practical experience with backup/recovery procedures.
Knowledge of project management techniques
Experience with database administration software.

Skills/Abilities:

Strong analytical and problem-solving skills.
Well organized.
Solid project management abilities
Good communication skills.
Ability to assist and train others.
Work well with and communicate with people."
37,Oracle Database Administrator,,Verizon,Verizon,"Irving, TX 75038","What you’ll be doing...
We work with the biggest names in business to enable them to work smarter and faster. The quality of our global network is key to enabling them to drive innovation. You’ll join our cutting edge team working on critical applications that support our global network. Your role will involve maintaining high visibility production databases with large amounts of data and high transaction rates. Ensuring the availability and stability of our current functionality, database analysis and design, and participating in new initiatives are key elements of your role. You will be defining the direction for major database support and efficiency improvement programs to achieve cost savings goals. Your important work will enable us to continue deliver new technologies to our customers to future-proof our business.
Maintaining highly visible production databases, optimizing system resources where possible.
Understanding and assessing new solutions.
Supporting IT initiatives through SQL analysis, schema revisions, and capacity forecasting.
Performing security administration and user account maintenance.
Communicating technical trends and the business value of technical solutions.
What we’re looking for...
Coming up with recommendations that have a big impact is motivating to you. You’re not afraid to make critical decisions in tight timeframes, and you remain calm and level headed in tense situations. Communicating with others comes naturally to you and you have a knack for explaining complex data in a way people can relate to. Your natural curiosity to solve complex issues serves you well as you enjoying seeing the results of your hard work.
You’ll need to have:
Bachelor’s degree or four or more years of work experience.
Six or more years of relevant work experience.
Experience administering Cassandra and Oracle databases.
Experience with Cassandra DB v3, CQL v3, Oracle 11g/12c RDBMS, Oracle 11g/12c RAC, OEM 12c, RMAN, Oracle Dataguard (Physical and Active), Advanced Replication, Streams, Golden Gate, Partitioning, OVM, Netapp Snap Manager, Advanced Security, Data Vault, and/or Audit Vault.
Worked in Exadata, HP, SUN, and/or DELL hardware environments.
SQL, PL/SQL, Unix, and/or Shell programming experience.
Willingness to participate on an on-call rotation and work outside of regular business hours.
Even better if you have:
A degree.
Experience across the software development lifecycle.
Experience with Linux (Redhat, OEL), Solaris, or HUPX operating systems.
When you join Verizon...
You’ll have the power to go beyond – doing the work that’s transforming how people, businesses and things connect with each other. Not only do we provide the fastest and most reliable network for our customers, but we were first to 5G - a quantum leap in connectivity. Our connected solutions are making communities stronger and enabling energy efficiency. Here, you’ll have the ability to make an impact and create positive change. Whether you think in code, words, pictures or numbers, join our team of the best and brightest. We offer great pay, amazing benefits and opportunity to learn and grow in every role. Together we’ll go far.
Equal Employment Opportunity
We're proud to be an equal opportunity employer- and celebrate our employees' differences,including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. Different makes us better."
38,"DBA Database Administrator Specialist - Denver, CO or Edina, MN",,Accenture,Accenture,"Denver, CO 80203","Mortgage Cadence, a wholly-owned subsidiary of Accenture, has been partnering with mortgage lenders since 1999, offering the industry’s only true one-stop shop mortgage technology solutions designed for point-of-sale through post-closing. In a time when efficiency, speed and the customer experience are paramount to the success of lenders, Mortgage Cadence offers the most reliable software and dedicated people, supporting lenders every step of the way. Each of our products has revolutionized the mortgage lending process in some way, changing the way lenders lend and borrowers finance.

As a software company, we think like a start-up, with every employee empowered and encouraged to be visionary. Teamwork and innovation define what we do as we take our customers into the future by providing the last lending solution they will ever need.

The SQL Database Administrator has hands on responsibility for the daily operation of all SQL Server databases including environment support and management, monitoring and tuning, and working with enterprise database technologies. Subject matter expert of the end to end operational design behind the entire environment. Expected to be hands on in all database related activities including new environment setup, daily maintenance, driving problem resolution and contributing to technology solutions. Ensure uptime and availability replication, clustering, mirroring, etc. Develop and manage data flows within the environment for business reporting. Promote data standards, system procedures and security policies, and best practices

Minimum of 5 or more years of experience administering MS SQL Server over a Windows Server enterprise environment
Minimum of 1 year hands on experience with DBA tasks in SQL Server 2016 Including perform installations, tuning and optimization, monitoring, backup restore, troubleshooting, data replication, D R, clustering, and capacity planning analysis
Minimum of 1 years of experience with 24x7 production environments Bachelor's Degree or equivalent work experience (12 years) or an Associate's Degree with 6 years of experience. Exceptions will be considered.

Additional Preferred Skill Requirements
SQL Server Integration and Reporting Services knowledge
Windows scripting, automation and unattended installation experience i.e. Powershell and other window toolsets
Experience with high availability environment requirements and execution
Performance tuning server configuration and SQL queries

Professional skills
Ability to think critically and troubleshoot system problems
Good interpersonal skills effective team player
Exceptional customer service skills
Ability to communicate effectively both orally and in writing
Ability to prioritize work load and consistently meet deadlines
Strong organizational skills attention to detail

All of our consulting professionals receive comprehensive training covering business acumen, technical and professional skills development. You'll also have opportunities -to hone your functional skills and expertise in an area of specialization. We offer a variety of formal and informal training programs at every level to help you acquire and build specialized skills faster. Learning takes place both on the job and through formal training conducted online, in the classroom, or in collaboration with teammates. The sheer variety of work we do, and the experience it offers, provide an unbeatable platform from which to build a career.

Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States and with Accenture (i.e., H1-B visa, F-1 visa (OPT), TN visa or any other non-immigrant status).

Candidates who are currently employed by a client of Accenture or an affiliated Accenture business may not be eligible for consideration.

Accenture is a Federal Contractor and an EEO and Affirmative Action Employer of Females/Minorities/Veterans/Individuals with Disabilities.

Equal Employment Opportunity
All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.

Job candidates will not be obligated to disclose sealed or expunged records of conviction or arrest as part of the hiring process.

Accenture is committed to providing veteran employment opportunities to our service men and women."
39,Database Administrator,Mission Side,Mission Side,save job,"Pueblo, CO 81003","MISSIONSIDE NEEDS TALENT LIKE YOURS.

You have the unique opportunity to join MissionSide’s Pueblo team of hard-charging, passionate individuals as we support the 2020 US Census Questionnaire Assistance Program. The Database Administrator supports our mission by building database systems of high availability, designing and implementing databases based on end user's information needs and views, and enabling data distribution to the right user.

Who are You?

You’re a creative and curious person who values excellent customer/government communication and takes absolute pride in everything you do. You’re an ideal candidate if:

You're willing to accept technical quality assurance for your work.
You’ve been described as having a ""thirst for knowledge.""
You enjoy playing an active role in ideating and implementing solutions.
You have good English language skills.
You enjoy having significant responsibility for technical conception of projects to achieve exceptional, innovative results.
And your experience includes:

You have previous work experience as a Database Administrator.
You are familiar with database design, documentation, and coding.
You've obtained a degree in a computer discipline or relevant certification
You possess an excellent knowledge of data backup, recovery, security, integrity, and SQL.
You're familiar with programming languages API.
Who Are We?

Since 2014 MissionSide has been leading the charge in elevating the way government agencies interact with the constituents they represent. We are changing the conversation in constituent/government communications by championing a “constituent as customer” philosophy. Click to learn more about our vision & mission.
Why MissionSide?

We truly believe that where you work matters – and it’s our mission to provide opportunities for those just entering the workforce, looking for progressive responsibility in their chosen field, looking for a flexible second job, or staying in the workforce after retirement.

This position reports daily to our Pueblo, Colorado office. This is your chance to build your career and to develop your skills as part of a fast-growing Washington, D.C.-based company with footholds throughout the United States. We need brains, commitment, and passion in our mission to elevate & emphasize the customer when it comes to customer/government interactions.

Benefits Include:

Health coverage for you & your family through medical, dental, and vision plans.
Financial protection through disability, life, and accidental death & dismemberment, and business travel insurance.
A 401k plan in which the company matches dollar for dollar on a generous % you contribute
Tax advantages through flexible spending accounts that allow you to pay for specific healthcare expenses using pre-tax dollars.
A generous paid time off program on top off traditional paid Federal holidays.
The opportunity to work with great people like Tito C. who said “Most similar organizations in are more concerned with the bottom line than those generating their top line. MissionSide has been a great fit for me!” and Kathy R. who said “I accepted my position at MissionSide because of the excellent job fit, fair compensation, and being able to help develop our culture within the company.”
MissionSide is an Equal Opportunity/ Affirmative Action Employer.

All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, disability, sex, age, ethnic or national origin, marital status, sexual orientation, gender identity or presentation, pregnancy, genetics, veteran status or any other status protected by state or federal law.

Not Finding the Job You’re Looking For?

Join MissionSide’s Talent Community and connect with us on LinkedIn

Recruiter Info:

Rachel Bosh

Email Rachel / Connect with Rachel"
40,Database Administrator,,Table Mountain Casino,Table Mountain Casino,"Friant, CA 93626","Direct, evaluate, review, and manage database resources and services across the organization while ensuring high levels of data quality.
Salary/Wages:
Depending on Experience
Position Type:
Full Time
Duties:
Develop and administer strategies for the control and sharing of company database resources and services.
Develop long-term goals for production databases in conjunction with data owners and department managers.
Develop, implement, and oversee database policies and procedures to ensure the integrity and availability of databases and their accompanying software.
Design, install, monitor, maintain, and performance-tune production databases.
Work with team to implement redundant systems, policies, and procedures for disaster recovery and data archiving to ensure effective protection and integrity of data assets.
Conduct research and make recommendations on database products, services, protocols, and standards in support of procurement and development efforts.
Ensure the stability and reliability of data access and data quality across the organization via ongoing database support and maintenance.
Analyze user requirements for reports, forms, queries, and data extraction.
Develop and deploy end-user practices and tools for data extraction, queries, and data manipulation in accordance with business processes.
Provide end-user training as necessary with regards to the effective and efficient use of database tools and resources.
Monitor database system details within the database, including stored procedures and execution time, and implement efficiency improvements.
Create and document models for new database development and/or changes to existing ones through data flowcharting.
Perform work in Microsoft SQL Server and create data management framework in ETL, Hadoop, Spark and big data tools.
Utilize API Management concepts and fundamentals.
Demonstrate strong business acumen, ability to problem solve, and utilization of analytical skills.
Respond to and resolve database access and performance issues.
Advise on the allocation of physical data storage for database systems.
Develop, implement, and maintain change control and testing processes for modifications to databases.
Participate in training sessions, presentations, and meetings.
Perform database transaction and security audits.
Ability to effectively prioritize and execute tasks in a high-pressure environment.
Provide on-call availability when needed.
Table Mountain Casino is a twenty-four hour business that never closes. Team Members are expected to work holidays and weekends.
Provide prompt, courteous guest service at all times following the casino’s guest service standards.
Participate in and support all guest service training programs.
Perform other duties as assigned.
Requirements:
Minimum five (5) years of progressive experience in the industry.
Strong understanding of database structures, theories, principles, and practices and excellent understanding of, and experience with, server-client computing and relational database environments required.
Working technical experience with designing, building, installing, configuring and supporting, tuning, and troubleshooting database servers required.
Gaming industry experience Strongly preferred. Good interpersonal, written, and oral communication skills.
Highly self-motivated and directed, with keen attention to detail. Strong customer service orientation.
College degree in Computer Science, Data Analytics, Data Sciences or equivalent with required unless otherwise waived by Executive Management of the Casino as based on determined experience and accomplishments.



In order for your application to be considered, you must complete the following assessment(s)
https://www.ondemandassessment.com/link/index/JB-BZ1Z3LEUP?u=128226"
41,Database Administrator,734 reviews,Expeditors NL,Expeditors NL,"Seattle, WA 98104","Company Description
“We’re not in the shipping business; we’re in the information business” -Peter Rose, Expeditors Founder
Global supply chain management is what we do, but at the heart of Expeditors you will find professionalism, leadership, and a friendly environment, all of which foster an innovative, customer service-based approach to logistics.
17,000 trained professionals
300+ locations worldwide
Fortune 500
Globally unified systems
Job Description
Scope of the Position
The DBA team ensures the reliability and integrity of data, including the availability and consistency of data throughout the organization. DBAs work with business analysts, system architects, software developers, and quality assurance resources to provide consistent data across all applications in support of business objectives.
The DBA will demonstrate leadership qualities through the mentoring and guidance of team members to improve team effectiveness, provide advanced consultation services related to database design and management, and work with management and development groups to align database administration with department and business goals.
Major Duties and Responsibilities
Provide database design and implementation services for enterprise application environments.
Diagnose and isolate database system related problems, utilizing available resources to remediate.
Provide helpdesk ticket and emergency support for database systems. Assist with database problem diagnostics, analysis and recovery operations. Provides production support for databases including after-hours on-call support.
Monitor database performance and resources to identify database configuration, hardware, software and SQL query tuning opportunities
Perform database system upgrade, maintenance, and trending activities.
Develop, maintain and enhance tools for task automation using available scripting languages
Establish and document database administration standards, processes, work flows, design and related tasks.
Collaborate with and mentor team members.
Serve as technical representative/liaison to train IS support and operations staff in RDBMS.
Stay current on database technologies, including industry trends, tools, frameworks, products and methodologies.
Qualifications
Minimum Qualifications
Bachelor's Degree in Computer Science or equivalent experience
10+ years of database management experience with 5+ years in database design and performance analysis
Strong knowledge of, DB2 and/or SQL Server relational database management systems and concepts required.
Extensive scripting experience with sh, ksh, bash, awk, sed, Python and Perl
Demonstrated ability to provide solutions to complex technical issues in a team and project-oriented environment
Solid knowledge of databases leveraging clustering, mirroring, replication and RDBMS management tools
Excellent communication (written & verbal) and troubleshooting skills
Desired Qualifications
Familiarity with Oracle and PostgreSQL
Additional Information
Expeditors offers excellent benefits
Paid Vacation, Holiday, Sick Time
Health Plan: Medical, Prescription Drug, Dental and Vision
Life and Long Term Disability Insurance
401(k) Retirement Savings Plan
Employee Stock Purchase Plan
Training and Personnel Development Program
Other Information
All your information will be kept confidential according to EEO guidelines.
Successful candidates must pass a background check.
Please note, this opportunity does not sponsor work visas and has no relocation assistance."
42,Database Administrator,,KIBO,KIBO,"San Diego, CA 92121","At Kibo, we provide cloud commerce solutions inspired by our clients' needs and designed to empower their teams. Together, we can help them see further, think bigger, and climb higher.

Our software and services include eCommerce, Order Management, Personalization, and Mobile Point-of-Commerce. We serve retailers, manufacturers, and brands, and our solutions are designed to power the shopping experience – from first click to doorstep – and to scale with them as their business grows.

The ideal candidate will have hands on ""Production Environment"" experience with recent releases of MS SQL with regard to daily database maintenance and operations issues, as well as have strong database development and scripting skills.

ESSENTIAL RESPONSIBILITIES AND DUTIES:

Day to day duties for proper database maintenance along with proactive measures to maximize the database availability and performance
Write scripts and contribute towards automation
Write script alerts and reports to monitor all production servers
Provide a single point of contact related to DB operations and triage incoming requests.
Actively monitor the data tier for health and capacity and take corrective actions as needed.
Configuration control and release management for stored procedures and applications that wish to connect to the database.
Perform quarterly data retention on all databases
MS SQL batch process monitoring and remediation.
Database backups and restores.
Available in rotation on-call for critical event handling.
QUALIFICATIONS:

5+ years of database experience in a production environment with MS SQL Server
Experience with both SQL database administration and database development strongly desired
Ability to conduct data retention on all databases
Experience with SAN management
Bachelor’s Degree in Computer Science, Information Systems, or a closely related field. Will consider an equivalent combination of education and work experience.
Excellent troubleshooting skills in relation to the databases
Experience developing data management operations.
Experience in a Software as a Service 7x24x365 environment including on-call rotation.
Production and maintenance of high-quality operational documentation.
Providing overnight and off-hours support as part of a support team.
Ability to function well in a team working independently and with good communication skills.
Nimble and Adaptable in this environment


DESIRED SKILLS:

Experience with PostgreSQL"
43,Entry Level Data Scientist,,IBM,IBM,United States,"Introduction
At IBM we have an amazing opportunity to transform the world with cognitive technology. By using the vast amounts of information available today to identify new patterns and make new discoveries, we are helping cities become smarter, hospitals transform patient care, financial institutions minimize risk, and pharmaceuticals find cures for rare diseases.


Data scientists work with enterprise leaders and key decision makers to solve business problems by preparing, analyzing, and understanding data to deliver insight, predict emerging trends, and provide recommendations to optimize results. Data scientists use a variety of data (structured, unstructured, IoT streaming), analytics, AI tools, and programming languages often using a cloud infrastructure to handle the volume and veracity of data streams.

Armed with data, modeling expertise, and analytic results, the data scientist communicates conclusions and recommendations to stakeholders in an organization's leadership structure. Business acumen is an important skill for data scientists to effectively communicate their findings to business leaders, data scientists need strong consulting, communication, visualization, and storytelling skills.

Your Role and Responsibilities
START DATES FOR THIS POSITION ARE IN 2020

Data Scientists are in demand across IBM's growth areas. If hired, you will be matched to a team based on business demand, location and fit. Join the forward-thinking teams at IBM solving some of the world’s most complex problems – there is no better place to grow your career!

What You’ll Do as an Entry-Level Data Scientist:
You will implement and validate predictive models as well as create and maintain statistical models with a focus on big data.
You will be exposed to and incorporate a variety of statistical and machine learning techniques such as logistic regression, experimental design, generalized linear models, mixed modeling, CHAID/decision trees, neural networks and ensemble models.
You’ll communicate with internal and external clients to understand business needs and provide analytical solutions.
You will use leading edge tools such as COGNOS, Watson Studio and Watson Machine Learning.
You’ll work in an Agile, collaborative environment, partnering with other scientists, engineers, and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors.
Who You Are:
You are great at solving problems, debugging, troubleshooting, and designing & implementing solutions to complex technical issues.
You thrive on teamwork and have excellent verbal and written communication skills.
You have strong technical and analytical abilities, a knack for driving impact and growth, and some experience with programming/scripting in a language such as Java or Python.
You have a basic understanding of statistical programming in a language such as R, SAS, or Python.
You have an interest in, understanding of, or experience with Design Thinking and Agile Development Methodologies

Required Professional and Technical Expertise
Basic understanding of statistical programming in a language such as R, SAS, or Python.
Experience with programming/scripting in a language such as Java or Python.
Knowledge of statistical concepts such as regression, time series, mixed model, Bayesian, clustering, etc., to analyze data and provide insights.

Preferred Professional and Technical Expertise
Advanced knowledge of statistical concepts such as regression, time series, mixed model, Bayesian methods, clustering, etc., to analyze data and provide insights.

About Business Unit
No matter where you work in IBM, you are making an impact. As an Early Professional with IBM, you will be taking on a key role with one of our industry-leading business units to work on the technology that is solving our most challenging problems and changing the way the world thinks.

Your Life @ IBM
What matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
We consider qualified applicants with criminal histories, consistent with applicable law.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
44,Database Administrator,90 reviews,Table Mountain Casino,Table Mountain Casino,"Friant, CA 93626","Direct, evaluate, review, and manage database resources and services across the organization while ensuring high levels of data quality.
Salary/Wages:
Depending on Experience
Position Type:
Full Time
Duties:
Develop and administer strategies for the control and sharing of company database resources and services.
Develop long-term goals for production databases in conjunction with data owners and department managers.
Develop, implement, and oversee database policies and procedures to ensure the integrity and availability of databases and their accompanying software.
Design, install, monitor, maintain, and performance-tune production databases.
Work with team to implement redundant systems, policies, and procedures for disaster recovery and data archiving to ensure effective protection and integrity of data assets.
Conduct research and make recommendations on database products, services, protocols, and standards in support of procurement and development efforts.
Ensure the stability and reliability of data access and data quality across the organization via ongoing database support and maintenance.
Analyze user requirements for reports, forms, queries, and data extraction.
Develop and deploy end-user practices and tools for data extraction, queries, and data manipulation in accordance with business processes.
Provide end-user training as necessary with regards to the effective and efficient use of database tools and resources.
Monitor database system details within the database, including stored procedures and execution time, and implement efficiency improvements.
Create and document models for new database development and/or changes to existing ones through data flowcharting.
Perform work in Microsoft SQL Server and create data management framework in ETL, Hadoop, Spark and big data tools.
Utilize API Management concepts and fundamentals.
Demonstrate strong business acumen, ability to problem solve, and utilization of analytical skills.
Respond to and resolve database access and performance issues.
Advise on the allocation of physical data storage for database systems.
Develop, implement, and maintain change control and testing processes for modifications to databases.
Participate in training sessions, presentations, and meetings.
Perform database transaction and security audits.
Ability to effectively prioritize and execute tasks in a high-pressure environment.
Provide on-call availability when needed.
Table Mountain Casino is a twenty-four hour business that never closes. Team Members are expected to work holidays and weekends.
Provide prompt, courteous guest service at all times following the casino’s guest service standards.
Participate in and support all guest service training programs.
Perform other duties as assigned.
Requirements:
Minimum five (5) years of progressive experience in the industry.
Strong understanding of database structures, theories, principles, and practices and excellent understanding of, and experience with, server-client computing and relational database environments required.
Working technical experience with designing, building, installing, configuring and supporting, tuning, and troubleshooting database servers required.
Gaming industry experience Strongly preferred. Good interpersonal, written, and oral communication skills.
Highly self-motivated and directed, with keen attention to detail. Strong customer service orientation.
College degree in Computer Science, Data Analytics, Data Sciences or equivalent with required unless otherwise waived by Executive Management of the Casino as based on determined experience and accomplishments.



In order for your application to be considered, you must complete the following assessment(s)
https://www.ondemandassessment.com/link/index/JB-BZ1Z3LEUP?u=128226"
