,Job_Title,Company1_Info,Company2_Info,Company3_Info,Location,Full_Description
35,Data Analyst,,Atrium Health,Atrium Health,"Charlotte, NC 28273","Collects, prepares and manages administrative and clinical data.

Essential Functions
Collects, mines and analyzes the diverse data elements and sources to support various initiatives throughout the System.
Maintains and supports various databases, spreadsheets and dash boarding reports.
Collects, evaluates, analyzes and coordinates the review of financial and clinical information.
Manages key data sources and data applications.
Prepares clear and concise data reports to for senior leadership and others as required.
Ensures the integrity of project data by monitoring and validating the extraction, processing, storage and manipulation of the information.
Develops or customizes programs, methodologies, models and files for analysis, presentation and illustration of data.
Serves as a resource for data analysis, report content, report design, etc. as needed.
Physical Requirements
Ability to sit for long periods of time. Work in safe manner. Ability to be flexible, work as part of a team and work at a fast pace when necessary.

Education, Experience and Certifications
High school degree or GED required. Bachelorï¿½s degree preferred.

At Atrium Health, formerly Carolinas HealthCare System, our patients, communities and teammates are at the center of everything we do. Our commitment to diversity and inclusion allows us to deliver care that is superior in quality and compassion across our network of more than 900 care locations.

As a leading, innovative health system, we promote an environment where differences are valued and integrated into our workforce. Our culture of inclusion and cultural competence allows us to achieve our goals and deliver the best possible experience to patients and the communities we serve.

Posting Notes: Not Applicable
Carolinas HealthCare System is an EOE/AA Employer"
36,Healthcare Analyst/Data Analyst,MBMS Medical Billing and Management Services,MBMS Medical Billing and Management Services,MBMS Medical Billing and Management Services,"Newark, DE","Growing Medical Billing Company seeking a highly motivated, critical thinking individual with effective communication skills. This role is an entry-level position supporting the Practice Management division of MBMS, LLC.

As part of the Practice Management Team, you will get a broad view of how our company operates while supporting a key client with operations across the country. The position will ensure timely communication with the client about coding related issues vital to maintaining an effective and efficient charge posting process. In this position, the ideal candidate will have the chance to grow with the company.

Responsibilities:

Work with overseas coding partner(s) to maintain effective/efficient charge flow
Work with outsourcing leadership, both internal and overseas, to identify coding delays
Analyze data from multiple sources
Understand data needs for key business questions and interpret results
Daily/Weekly trend reports
Review of Practice charge trends
Charge Count Verification
Provide ad hoc reporting as requested (procedure count, charges, payments, etc.)
Act as support person on special projects and initiatives"
37,Data Analyst,,Madera Community Hospital,Madera Community Hospital,"Madera, CA 93637","Under supervision of Director of Information Technology, designs, develops, maintains and enhances queries, reports, and dashboards. Performs analytical and programming functions for complex financial modules. Analyzes financial status by collecting, monitoring, and studying data using statistical techniques and recommending actions. Will utilize data from primary and secondary sources to develop and implement data analyses, data collection systems and other strategies that optimize statistical efficiency and quality.

Performs detailed data analysis using complex analytical thinking skills to determine enhancement and correction of queries and reports, and appropriate development of new queries and reports. Acts as liaison to user department, oversees routine procedures of department, maintains a positive personal and professional image. May be required to perform Stand-By or Call Back support."
38,Data Analyst,skysolutions,Contract,save job,"Charlotte, NC","Job Description:

Looking for someone with a strong understanding of databases and how to pull information out (not particular on specific database, can be any) and will be creating data model of how it should look. Doesn’t need to be with any specific data modeling tools, would be happy with just drawing it out on a piece of paper. Will also need to be strong with SQL to query the data.

Would also like them to be able to look at code and understand functions but not actually write code themselves.

Would be interested in anyone from a BA or Data Analyst background.

Ideally looking for someone with financial industry experience, specifically with loan accounting applications but dropped that down to a nice to have.

Must have :
5+ years of Data Analysis experienceAdvanced SQL skills – Must be able to write complex queries from scratchMust have good documentation and communication skillsBanking experience is highly preferred"
39,Data Analyst,Clarify Health Solutions.,Clarify Health Solutions.,save job,"San Francisco, CA","The Data Science team at Clarify Health is at the core of powering our platform – proposing, prototyping, and deploying product features powered by machine learning and statistical analysis. This is made possible by our investment in significant data assets, including longitudinal claims and clinical data for several million patient lives, paired with patient-generated data we collect through our platform.

The Data Analyst will play a critical role in building an industry-changing collection of data assets to transform healthcare and in creating a platform to enable adding new data sets more efficiently, in turn delivering value our customers more quickly. The Data Analyst will focus on the development, management, and delivery of Clarify’s data offerings, working closely with engineering, product management and operations teams.
The Role
Interpreting, analyzing, and mapping claims and clinical data
Analyzing data using a variety of methods including statistics and relational databases
Serving as the liaison with data vendors and partners
Being the expert on where data originates, how they are mapped and utilized in our products, and ultimately what value data delivers to our customers
Working with internal stakeholders, partners, and prospects to understand data needs, and transforming them into requirements for our offerings
Helping customer-facing teams to support implementations and customer usage
Assisting and supporting QA in test strategy and test case development and execution
What we are looking for
Passion for making a difference in healthcare
2 - 5 years of relevant professional experience
Expert SQL querying skills
Proficiency with Python, R, or other statistical programming language
Solid understanding of Medical Claims, Rx Claims, Clinical Data, Eligibility, Provider Data and related processes
Experience with clinical coding systems: ICD9/10 diagnosis codes, ICD9/10 procedure codes, CPT codes, revenue codes, provider NPI codes, NDC Rx codes
Strong analytical problem-solving skills
Strong written and verbal communication skills
Willingness to contribute to building Clarify with energy and excitement

Please note that, given the nature of customer and prospect discussions, some limited travel may be required.
 We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class."
40,Data Analyst,Extensis Inc,Extensis Inc,save job,"Portland, OR 97201","Extensis provides a creative, energetic work environment and promotes a healthy work/life balance. We are committed to success through innovation and empowerment, and we’re looking for people who share these values to contribute to and share in our success.
We are seeking an outstanding Data Analyst who can find and analyze data needed to guide the strategic direction of the business. We are seeking candidates who are passionate about data-driven decision models that help drive the business based on customer needs and market insights.
Key Responsibilities:
Collaborate with stakeholders to identify metrics to be tracked, provide easy-to-understand explanation of approach, obtain buy-in from stakeholders, and deliver high-value insights via reports and visual dashboards.
Identify and validate the appropriate technological solutions for various needs. May perform analysis for a wide range of requests using data in different formats and from various platforms.
Troubleshoot data integrity issues, analyze data for completeness to meet business needs, and propose solutions and recommendations.
Explore data to discover patterns, meaningful relationships, anomalies, and trends.
Maintain objectivity to ensure processes and products are relevant.
Make data-driven recommendations.
Articulately and concisely explain the implications of complex data.
Essential Qualifications:
Bachelor’s Degree in related discipline or equivalent experience.
Minimum 2yrs industry experience in data modeling, analysis, and statistical concepts.
Passion for solving intricate business problems using various data analysis techniques.
Experience with visualization tools (Power BI, Tableau).
Knowledge of SQL, ETL and data cleansing.
Attention to detail and with strong data analysis and problem-solving skills.
Ability to function effectively both independently and within a team.
Excellent interpersonal and persuasive oral and written skills.
What We Offer: In addition to competitive compensation, a rich benefits package, generous vacation accruals, 10 paid holidays per year, a 401(k) Plan with employer match and education reimbursement we also offer some great perks:
Gorgeous and convenient downtown location overlooking the Willamette River with unfiltered views of Mt. Hood in the distance.
Free monthly transit pass or cash incentive to walk or bike to work (and a private, locking bike cage + on-site showers!)
Paid time off to volunteer to the cause of your choice
Donuts on Mondays, Organic Fruit on Wednesdays and Bagels on Fridays (plus gourmet coffee and tea selection)
A cool lounge with refreshments and an arcade game
Monthly on-site massages"
41,Data Analyst,,University of New Mexico,University of New Mexico,"Albuquerque, NM","The University of New Mexico’s Project ECHO currently has a unique opportunity for a Data Analyst to join our Continuing Education & Reporting Team.
Your data driven mind-set will be valuable and you will play an integral role in:Helping assess needs, collaborate on evaluation methods and assisting with determining the right data collection tool to useProviding timely data analysis to the program teamsPerforming preliminary data manipulation by providing basic data analysis, summaries, statistical and analytical reports, and interpretationsAssisting with survey design, data collection and generation of feedback reports to program teams.
As a Data Analyst, it is helpful to have a working knowledge of RedCap software and be able to work in a process driven environment. This position is not in a lab setting; it is in an office environment.
Project EHCO prides itself on being a values-based organization. Our seven values include: Service to the Underserved, Demonopolize Knowledge, Mutual Trust and Respect, Teamwork, Excellence and Accountability, Innovation and Learning and Joy of Work. We strive to find individuals who can embrace and exemplify these values.
Project ECHO is funded in part by grants from the GE Foundation, the Helmsley Charitable Trust, the Bristol Myers Squibb Foundation, the Merck Foundation, and the US Government and has received support from the NM Legislature, the University of New Mexico, and the New Mexico Department of Health. Project ECHO's vision is to touch the lives of 1 billion people by 2025

See the Position Description for additional information.


Conditions of Employment

Minimum Qualifications
High school diploma or GED; at least 5 years of experience directly related to the duties and responsibilities specified.
Completed degree(s) from an accredited institution that are above the minimum education requirement may be substituted for experience on a year for year basis.

Preferred Qualifications
Working knowledge of the evaluation RedCap software
Experience working in a healthcare setting
Work well with minimal supervision and possess great time management skills"
42,Data Analyst,600 reviews,Stanford University,Stanford University,"Stanford, CA","Data Analyst
Job Code: 4745
Job Grade: I
FTE: 100%, Exempt, 1 Year Fixed Term
Management Science and Engineering, Computational Policy Lab
The School of Engineering
Stanford Engineering has been at the forefront of innovation for nearly a century, creating pivotal technologies that have transformed the worlds of information technology, communications, health care, energy, business and beyond. Our faculty and students are creative risk-takers who pursue excellence across a breadth of disciplines. Our alumni include some of the world's most successful leaders in technology and business. Our staff are critical to enabling Stanford Engineering to accomplish its mission: seeking solutions to some of the world's most urgent challenges and educating leaders who will make the world a better place through the power of engineering principles, techniques and systems.

The Department of Management Science and Engineering, in the School of Engineering, leads at the interface of engineering, business, and public policy. The department’s mission is, through education and research, to advance the design, management, operation, and interaction of technological, economic, and social systems. MS&E website: https://msande.stanford.edu

MS&E is seeking a an experienced data analyst who will perform research with the Computational Policy Lab (https://policylab.stanford.edu/).


Your responsibilities include:
Work under consultative or self-initiated direction to assess and produce relevant, standard, or custom information (reports, charts, graphs and tables) from structured data sources by querying data repositories and generating the associated information. Distribute and disseminate reports to applicable agencies, researchers, management and other internal end-users.
Devise methods for identifying data patterns, trends in available information sources using a variety of qualitative and quantitative techniques. Determine and recommend additional data collection and reporting requirements.
Design and customize reports based upon data in the database.
Create non-routine databases and their related information summary; develop algorithms and statistical model; and perform statistical analyses appropriate to complex data and reporting requirements.
Serve as a resource for non-routine inquiries such as requests for statistics or surveys.
Lead the implementation of data standards and common data elements for data collection.
Collaborate with technical staff to standardize and systemize routine reports, dashboards, and metrics.
May test prototype software and participate in approval and release process for new software.
Other duties may be assigned.

To be successful in this position, you will bring:
In-depth knowledge and experience using and applying analytical software, database management system software, database reporting software, database user interface and query software, and data mining software.
Expert ability to collect data using a variety of methods, such as data mining and hardcopy or electronic documentation study, to improve or expand databases.
Basic statistical ability.
Strong listening, verbal and written communication skills.
Ability to manage multiple activities in a deadline-oriented environment; highly organized, flexible and rigorous attention to detail.
Ability to use logic to calculate data; efficiently construct a database or scrutinize the form of a question.
Ability to work with data of varying levels of quality and validity.
Demonstrated ability to produce data in a clear and understandable manner meeting user requirements.
Ability to work effectively with multiple internal and external customers.
Ability to take a leadership role on projects and with users/clients.
Consistent with its obligations under the law, the University will provide reasonable accommodation to any employee with a disability who requires accommodation to perform the essential functions of his or her job.

Candidates must be legally authorized to work in the United States. This position does not sponsor visas.


Why Stanford is for You
Imagine a world without search engines or social platforms. Consider lives saved through first-ever organ transplants and research to cure illnesses. Stanford University has revolutionized the way we live and enrich the world. Supporting this mission is our diverse and dedicated 17,000 staff. We seek talent driven to impact the future of our legacy. Our culture and unique perks empower you with:
Freedom to grow. We offer career development programs, tuition reimbursement, or audit a course. Join a TedTalk, film screening, or listen to a renowned author or global leader speak.
A caring culture. We provide superb retirement plans, generous time-off, and family care resources.
A healthier you. Climb our rock wall, or choose from hundreds of health or fitness classes at our world-class exercise facilities. We also provide excellent health care benefits.
Discovery and fun. Stroll through historic sculptures, trails, and museums.
Enviable resources. Enjoy free commuter programs, ridesharing incentives, discounts and more!
How to Apply
We invite you to apply for this position by clicking on the “Apply for Job” button. To be considered, please submit a cover letter and résumé along with your online application. Your one-page cover letter should briefly describe your background in customer service and provide examples of your experience with attention to detail, responsiveness, and decision-making."
43,Administrative Assistant / Data Analyst Supporting the DEA,55 reviews,FSA,FSA,"San Francisco, CA 94102","Focused on delivering unsurpassed services in support of law enforcement and homeland security, FSA, a rapidly growing joint venture owned by trusted solutions providers SAIC and AECOM, has a vacancy for a Data Analyst. In this role, you will be supporting the overall mission of the DEA and the Asset Forfeiture Program at the DEA San Francisco Field Division.

A Data Analyst executes the following duties:

Provide organization and management of case files
Review data (completeness of information, proper execution)
Extract data from data base
Obtain additional information from other investigative agencies/data base
Establish/maintain physical file
Prepare notices/advertisements
Receive, suspense petitions, claims, process sharing requests
Reconcile inconsistencies
Prepare declarations
Gather information and organize investigative package
Verify case files and case tracking system
Maintain internal status information on the disposition of all forfeited assets
Assure information is accurate and perform analytical computations necessary to process data
Conduct and reconcile inventories
Distribute and receive documents
Assist lead analyst or official in obtaining/collecting all documents/information to complete case file
Provide administrative information and assistance concerning case to other investigative agencies, local law enforcement agencies, US Attorney, and other DOJ processing units, and higher headquarters
Extract data from agency data base for management and program reports
Perform word processing relevant to case documentation
Perform data entry relevant to case

A Data Analyst must meet the following qualifications:

High School diploma, bachelor's Degree preferred; Criminal Justice degree a plus
Ability to review and analyze data and information from multiple sources
Ability to establish case/project files
Ability to enter and retrieve data from data bases
Ability to prepare and format management reports
Ability to manipulate, transfer, and compute and print information
Ability to create and manipulate spreadsheets
Ability to prepare and correct reports and correspondence using word processing software
Ability to obtain and maintain a Public Trust Security Access

This position requires U.S. Citizenship and a 7 (or 10) year minimum background investigation.

Forfeiture Support Associates (FSA), LLC is proud to be an Affirmative Action/Equal Opportunity Employer. We recruit, employ, train, compensate, and promote qualiﬁed persons in all job titles without regard to age, ancestry, color, gender, HIV status, marital status, medical condition, national origin, physical or mental disability, race, religion, sex, sexual orientation (including gender expression and identity), veteran status, family leave status or any protected group status as deﬁned by applicable law."
44,DATA ANALYST,"1,012 reviews",University of Washington,University of Washington,"Seattle, WA","As a UW employee, you have a unique opportunity to change lives on our campuses, in our state and around the world. UW employees offer their boundless energy, creative problem solving skills and dedication to build stronger minds and a healthier world.


UW faculty and staff also enjoy outstanding benefits, professional growth opportunities and unique resources in an environment noted for diversity, intellectual excitement, artistic pursuits and natural beauty. All of which has allowed the UW to be nationally recognized as a “Great College to Work For” for five consecutive years.


The Department of Biostatistics has an outstanding opportunity for a Data Analyst. This position will analyze data in the Genetic Analysis Center in the Department of Biostatistics, which is a research group that develops and applies statistical methods to genetic and health-related data with the aim of discovering how genetic variation contributes to human disease and well-being. The genetic data include variations assayed by whole-genome sequencing or micro-arrays, and the health data cover a broad range of health-related traits, particularly complex diseases such as diabetes, asthma, atherosclerosis, and cancer; as well as responses to pharmaceuticals. The projects are funded by academic, non-profit and industrial institutions.


This position will support GAC research projects by developing analytical methods, creating data sets, identifying data anomalies, performing statistical analysis, and summarizing analysis results for GAC members and external collaborators.


This position supports federal grants at the University.


RESPONSIBILITIES:


Work with GAC faculty and staff to develop goals and methods for data management and analysis.

Construct, manipulate and interpret large and complex data sets.

Identify problematic records in data sets and determine the best approach to handling them.

Perform quality control on genotypic and phenotypic data.

Program data transformations and analyses using the R statistical environment.

Perform statistical data analysis of large data sets using parallel computing.

Summarize and communicate results of analyses to GAC staff and clinical collaborators.


As a UW employee, you will enjoy generous benefits and work/life programs. For detailed information on Benefits for this position, click here.


REQUIREMENTS:


Bachelor's degree in statistics, genetics, mathematics, or computer science ?

2-3 years experience required, involving the following activities:


Documented experience working with large data sets.

Documented experience in one or more statistical software packages (e.g. SAS, R, STATA).

Knowledge of, or willingness to learn, specialized data management and statistical analysis skills for projects relating to genetic health research.

Excellent verbal and written communication skills, as the person in this position will closely interact with clinical researchers in the analysis of study data.


Equivalent education/experience will substitute for all minimum qualifications except where there are legal requirements such as license/certification/registration.


DESIRED


Background in genetics and statistics
Experience in management, analysis and interpretation of scientific data sets.
Experience in the ""R"" statistical software packages
Experience with Linux or Unix systems
Familiarity with reproducible research principles and tools"
45,Behavior Data Analyst - Marcus Autism Center - Severe Behavior,,Children's Healthcare of Atlanta,Children's Healthcare of Atlanta,"Atlanta, GA 30329","Work Schedule/Days: Day / Monday - Friday
Employment Type: Full-Time
Location: Marcus Autism Center
Requisition #: 34430


JOB SUMMARY
Organizes and maintains data collection and statistical analysis system for program in accordance with the needs of the ages of the population served. Provides direct services under the supervision of the case manager/clinical specialist. Assists with research activities and completes departmental duties as needed.

EDUCATION
Bachelor’s degree in Psychology, Education, or applied discipline
CERTIFICATION SUMMARY
Basic Life Support (BLS) within 30 days of employment
EXPERIENCE*
No minimum experience required
PREFERRED QUALIFICATIONS*
Experience in the implementation of behavioral assessment/treatment programs with individuals with developmental disabilities
Experience in Microsoft Office
Knowledge of normal/abnormal growth and development throughout the age continuum
KNOWLEDGE SKILLS & ABILITIES*
Ability to provide, assess, interpret, and communicate client-specific data in response to treatment protocols
Must possess strong organizational and time management skills along with ability to manage multiple tasks
Must possess excellent verbal and written communication skills
Must possess excellent customer service skills
Must be able to successfully pass all post-training tests which may include basic Applied Behavior Analysis post-test, 3-step post-test, assaultive techniques checklist post-test, and teaching procedures role playing (Marcus Autism Center employees)
JOB RESPONSIBILITIES*
Provides direct client care.
Communicates case-related activities with supervisors using written and verbal communication.
Calculates reliability coefficients and summarizes reliability data of various direct observation data collection systems.
Assists in the monitoring (e.g., data collection and data entry) and adjustment of routine behavioral assessments and protocols.
Assumes responsibility for case-related activities in conjunction with the Behavior Data Analyst 2 and/or Clinical Specialist (e.g., preparing case-related materials/documentation, and anticipating case-related needs).
Assists with the training of staff and caregivers regarding data collection and treatment procedures for assessments and treatment protocols.
Utilizes safe and appropriate handling, management, and guidance procedures when transporting or working with patients.
Assists in the implementation of research protocols and maintenance of research literature and educational materials.
Assists in the purchase and maintenance of supplies necessary for implementation of behavior protocols.
SYSTEM RESPONSIBILITIES*
Safety: Practices proper safety techniques in accordance with hospital and departmental policies and procedures. Responsible for the reporting of employee/patient/visitor injuries or accidents, or other safety issues to the supervisor and in the occurrence notification system.

Compliance: Monitors and ensures compliance with all regulatory requirements, organizational standards, and policies and procedures related to area of responsibility. Identifies potential risk areas within area of responsibility and supports problem resolution process. Maintains records of compliance activities and reports compliance activities to the Compliance Office.

The above statements are intended to describe the general nature and level of work performed by people assigned to this classification. They are not intended to be an exhaustive list of all job duties performed by the personnel so classified.

PHYSICAL DEMANDS*
Ability to lift up to 40 lbs independently and greater than 40 lbs with assistance
Bending/Stooping - Frequently (activity or condition exists from 1/3 to 2/3 of time)
Climbing - Occasionally (activity or condition exists up to 1/3 of time)
Hearing/Speaking - Effective communication with employees, supervisors/managers and staff. Effective communications with patients and visitors, as required.
Lifting - Frequently (activity or condition exists from 1/3 to 2/3 of time)
Pushing/Pulling - Frequently (activity or condition exists from 1/3 to 2/3 of time)
Sitting - Frequently (activity or condition exists from 1/3 to 2/3 of time)
Standing - Frequently (activity or condition exists from 1/3 to 2/3 of time)
Walking - Frequently (activity or condition exists from 1/3 to 2/3 of time)
WORKING CONDITIONS*
Some potential for exposure to blood and body fluids
About Us:
Children’s Healthcare of Atlanta has been 100 percent committed to kids for more than 100 years. A not-for-profit organization, Children’s is dedicated to making kids better today and healthier tomorrow.
With 3 hospitals, 27 neighborhood locations and a total of 638 beds, Children’s is the largest healthcare provider for children in Georgia and one of the largest pediatric clinical care providers in the country. Children’s offers access to more than 70 pediatric specialties and programs and is ranked among the top children’s hospitals in the country by U.S. News & World Report.
Children’s has been ranked on Fortune magazine’s list of “100 Best Companies to Work For” for fourteen consecutive years and named one of the “100 Best Companies” by Working Mother magazine. We offer a comprehensive compensation and benefit package that supports our mission, vision and values. We are proud to offer an array of programs and services to our employees that have distinguished us as a best place to work in the country. Connect to our mission of making kids better today and healthier tomorrow.
Have questions about the recruitment process? Check out What to Expect.
Address: 1920 Briarcliff Road, Atlanta, GA 30329
Function: Allied Health - Behavior Treatment"
46,Data Analyst,United One Solutions,Contract,save job,"Newark, CA","Job Description:
This position requires the ability to collect and analyze business data, apply financial business rules and receive & process product requests. Data Analyst will be expected to provide documentation including detailed descriptions of data issues found in reviews and provide an assessment of the viability of executing selected business scenarios
This position supports the Product Acquisition team for a major government contract.

Job Requirements:
Bachelors degree or equivalent work experience2+ years experience in a purchasing/procurement environmentStrong verbal and written communication experienceStrong experience in MS Suite, Asset Center or Filemaker"
47,Data Analyst,,"PennyMac Loan Services, LLC","PennyMac Loan Services, LLC","Agoura Hills, CA","Provide general reporting and analytical support for the department. Responsibilities include developing and tracking of key statistical information and performance metrics, preparing various reporting views, organizing and presenting data to management, and performing query functions for ad-hoc reporting requests and gathering requirements for new reporting.
Job Description
Obtain insight from a pool of Information Technology data and provide key statistical information and performance metrics
Develop ETL (Extract, transform, load) frame works to support analytic models
Perform quality data assessments to support analytics models
Develop visual business intelligence models utilizing several business intelligence tools
Collects analyses, and prepares reports for Information Technology services utilization. Data is used to ensure appropriate cost and charge practices to business divisions and to identify and understand trends in services utilization.
Plan, organize, prepare, and present data to management
Interpret ad-hoc data requests and conduct applicable queries to obtain desired results
Provide analytical support to senior analysts and manager
Gather requirements for new reporting
Perform other related duties as required and assigned
Demonstrate behaviors which are aligned with the organization’s desired culture and values
Ideal Candidate will have the following:
Moderate skill in business intelligence tools such as Tableau or Qlik
Moderate skills in ETL tools such as Alteryx
Light to moderate skills with Pyhton and R
Moderate skills with MS Office, including Excel & PowerPoint
Moderate skills with SQL database
Information Technology experienced preferred
Must be a team player with strong attention to detail and able to work independently
Proven track record at delivering timely and accurate information in a fast-paced environment
Excellent critical thinking, problem solving, and mathematical skills, and sound judgment
Strong business acumen and ability to interface with executive management"
48,"Data Analyst, UMR","15,708 reviews",Other,UnitedHealth Group,Florida,"There comes a point when you're ready to take off the training wheels and start guiding others. If that's where you are today, let's talk about where you can be tomorrow with our leading, global health care organization. UnitedHealth Group is driving ever higher levels of sophistication in how provider networks are composed and compensated.

The mission of this Data Analyst role is to drive network program design, improving quality and affordability, through use of innovative product offerings, for both network and pharmacy benefit management products.

This is a uniquely exciting role as you will be challenged to use deep analytic, problem solving and (customer facing) communication skills. You will examine data to evaluate network performance and develop strategies to improve performance. You are also the point person for assigned customers and must be able to explain the data and why any proposals will help performance.

You’ll enjoy the flexibility to telecommute* from anywhere within the U.S. as you take on some tough challenges.

Primary Responsibilities:
Perform analysis and develop strategy for UMR network & pharmacy benefit management products
Work with internal/external customers on reviewing network performance and developing recommendations
Obtain, validate and analyze data allowing you to analyze network availability and access
Serve as a key resource on complex and/or critical issues
Serve as key resources for corporate projects impacting network and pharmacy benefit management offerings
This is an opportunity to truly challenge yourself. You’ll work on many different aspects of Provider Networks in this role including manipulating data, educating customers, working with Sales and Account Management, managing projects, and navigating any issues with other teams such as sales, consulting or clinical.

Required Qualifications
4+ years of experience analyzing large data sets
Advanced level of proficiency with MS Excel
3+ years of experience communicating complex data to others
3+ years experience working with healthcare provider networks
3+ years in a role requiring excellent communication skills
1+ years Customer Facing Experience

Preferred Qualifications/Assets:
Demonstrated ability to develop and communicate network program offerings driving cost down and quality/access up
Project management experience
PBM experience
Undergraduate or higher level degree

Building diverse, high quality provider networks is creating greater access to health care and improving the lives of millions. Join us. Learn more about how you can start doing your life's best work.(sm)

Careers at UnitedHealthcare Employer & Individual. We all want to make a difference with the work we do. Sometimes we're presented with an opportunity to make a difference on a scale we couldn't imagine. Here, you get that opportunity every day. As a member of one of our elite teams, you'll provide the ideas and solutions that help nearly 25 million customers live healthier lives. You'll help write the next chapter in the history of health care. And you'll find a wealth of open doors and career paths that will take you as far as you want to go. Go further. This is your life's best work.(sm)
All Telecommuters will be required to adhere to UnitedHealth Group’s Telecommuter Policy

Diversity creates a healthier atmosphere: UnitedHealth Group is an Equal Employment Opportunity/Affirmative Action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.

UnitedHealth Group is a drug-free workplace. Candidates are required to pass a drug test before beginning employment."
49,Data Analyst,,University of New Mexico,University of New Mexico,"Albuquerque, NM","The University of New Mexico’s Project ECHO currently has a unique opportunity for a Data Analyst to join our Continuing Education & Reporting Team.
Your data driven mind-set will be valuable and you will play an integral role in:Helping assess needs, collaborate on evaluation methods and assisting with determining the right data collection tool to useProviding timely data analysis to the program teamsPerforming preliminary data manipulation by providing basic data analysis, summaries, statistical and analytical reports, and interpretationsAssisting with survey design, data collection and generation of feedback reports to program teams.
As a Data Analyst, it is helpful to have a working knowledge of RedCap software and be able to work in a process driven environment. This position is not in a lab setting; it is in an office environment.
Project EHCO prides itself on being a values-based organization. Our seven values include: Service to the Underserved, Demonopolize Knowledge, Mutual Trust and Respect, Teamwork, Excellence and Accountability, Innovation and Learning and Joy of Work. We strive to find individuals who can embrace and exemplify these values.
Project ECHO is funded in part by grants from the GE Foundation, the Helmsley Charitable Trust, the Bristol Myers Squibb Foundation, the Merck Foundation, and the US Government and has received support from the NM Legislature, the University of New Mexico, and the New Mexico Department of Health. Project ECHO's vision is to touch the lives of 1 billion people by 2025

See the Position Description for additional information.


Conditions of Employment

Minimum Qualifications
High school diploma or GED; at least 5 years of experience directly related to the duties and responsibilities specified.
Completed degree(s) from an accredited institution that are above the minimum education requirement may be substituted for experience on a year for year basis.

Preferred Qualifications
Working knowledge of the evaluation RedCap software
Experience working in a healthcare setting
Work well with minimal supervision and possess great time management skills"
