,Title,Location,Qualifications,Skills,Responsibilities,Education,Requirement
11,Data Scientist Intern,"Broomfield, CO 80021","Strong technical knowledge in the areas of computer science, big data architecture, data processing, and machine learning",None Found,None Found,None Found,"Classification: Junior, Senior or Graduate status by start of internshipPursing a Bachelor's or Master’s degree in Machine Learning or IT related fieldCurrently enrolled at a 4-year accredited College or University (post-graduation internships not offered)3.0 or above cumulative GPAavailable to participate in internship program late may – early augustavailable to relocate to internship work location if necessaryStrong listening, written and verbal communication skillsStrong problem-solving skillsStrong sense of urgency and ability to meet deadlinesHighly motivated, organized, reliable and detail orientedCapable of multi-tasking efficientlyQuick learner and not afraid to work with new technologyProfessional attitude"
12,Data Scientist,"New York, NY","Experience with Python
Knowledge of some of the following: numpy, scipy, pandas, scikit-learn
Knowledge of basic statistics and data analysis
Experience with open source software for data ingestion and data processing
Ability to both follow and take lead, depending on the situation
Academic or industry examples of machine learning models previously built
Hands on work with unclean, semi-structured or unstructured data sets preferred
Experience working in teams of analysts, data engineers, statisticians, and data scientists is highly preferred
Experience in analytics (a.k.a. decision sciences) in the financial industry; in particular, for credit and marketing of unsecured lending products (development of credit risk models, valuation models, credit policy) preferred
Superb analytical, math, coding, and data background
Innovative mindset—thinks beyond the status quo
Profiling, cross-platform adaptively, are preferred",None Found,None Found,None Found,None Found
13,2020 Intern - Data Scientist,United States,None Found,None Found,"
Implement and validate predictive models; create and maintain statistical models with a focus on big data.
Communicate with internal and external clients to understand business needs and provide analytical solutions.
Use statistical concepts such as regression, time series, mixed model, Bayesian methods, clustering, etc. to analyze data and provide insights.
Work in an Agile, collaborative environment, partnering with other scientists, engineers, and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors.
Data analytics including identifying, retrieving, manipulating, relating and exploiting multiple structured and unstructured data sets from various sources including building or generating new data sets.
Gain exposure to writing relational table queries
Identify, retrieve, manipulate, relate and exploit multiple structured and unstructured data sets from various sources including building or generating new data sets as appropriate.
Create and present materials on data projects, data science architecture and analytics strategies.",None Found,None Found
14,DATA SCIENTIST I,"Dallas, TX",None Found,None Found,None Found,None Found,None Found
15,Junior Data Scientist - VIE San Francisco,"San Francisco, CA 94107",None Found,None Found,None Found,None Found,None Found
16,Data Scientist (Full Time) - United States,"San Jose, CA","Recent graduate or on your final year of studies towards a BS, MS or MBA or equivalent in Computer Science, Mathematics, Economics, Information Management, Statistics or a related fieldMinimum of a 3.0 GPA or higherYou know how to work a problem from beginning to end with data science tools and techniques, including data manipulation (SQL, Hadoop, etc.) and programming (R, Python, XML, Javascript, or ETL) frameworksExperience with Oracle databases is desirable. Strong knowledge of and experience with reporting packages (Business Objects etc). Knowledge of statistics and experience using statistical packages for analyzing large datasets (Excel, SPSS, SAS etc).Technical knowledge regarding data models, database design development, data mining and segmentation techniquesStrong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracyProficient in queries, report writing and presenting findings",None Found,None Found,None Found,None Found
17,"Internship Data Scientist, Product Analytics","New York, NY 10011",None Found,None Found,None Found,None Found,None Found
18,Data Scientist,"Glen Mills, PA","
Master’s Degree or Technical Bachelor’s degree (four year degree or greater in a mathematic, scientific or information technology field of study);
2 or more years of related work experience;
Hands on experience with R, SAS and/or Python to manipulate and transform data
Experience working with databases (Teradata, Oracle, SQL and NoSQL dbs) and interpreting data; experience with feature engineering and data wrangling of both unstructured and structured data sets;
Exposure to data visualization tools and techniques (matplotlib, ggplot or Tableau);
Experience with business case analysis (problem identification, quantitative modeling and problem solving)",None Found,"
Use machine learning methods (e.g., cluster analysis, decision trees, random forest, neural networks, logistics regression) to model and predict research outcomes
Use advanced mathematical techniques (correlation, regression, time series analysis, analysis of variance, etc.) to forecast outcomes
Identify appropriate methods to conduct analyses including simulation methods (e.g., bootstrap, monte carlo, bagging methods), machine learning, and statistical analyses
Develop data visualizations to capture trends and summarize data
Create reports of data metrics, trends, outliers, etc.
Hands on experience with R and/or Python to manipulate and transform data
Ability to communicate through graphical representation/visualizations, reports, algorithms, models, and dashboards
Process and prepare both structured and unstructured data sets to ensure successful modeling further downstream of the insight generation and modeling process
",None Found,None Found
19,Data Scientist Analyst - 91719,"Dearborn, MI",None Found,"Proven proficiency in developing analytic models, working in a team environment, supporting customer/end users. Experience with R, SQL, Tableau, Alteryx, CPLEX, Python, Any Logic, Qlikview, Hadoop, Able to understand and transform various data structures, excellent pattern recognition and predictive modeling skills. Proven ability to drive business results from data insights, algorithm, optimization and simulation Strong problem-solving skills, critical thinking, strong collaboration and communication skills",None Found,None Found,None Found
20,"Data Scientist, Marketplace – all levels","New York, NY 10011",None Found,None Found,None Found,None Found,None Found
21,Data Scientist,"Denver, CO",None Found,None Found,None Found,None Found,None Found
22,"Internship Data Scientist, Product Analytics, Analytics","New York, NY 10011",None Found,None Found,None Found,None Found,None Found
23,Data Scientist,"Denver, CO 80202","5+ years of professional experience as a data scientist or related rolesAdvanced degree or equivalent experience in a quantitative discipline.Strong STEM backgroundHands on experience in Machine Learning, Statistical Modeling, Quantitative Analysis, Forecasting, Data VisualizationStrong knowledge and high proficiency in SAS, SQL, Python, etc.Attention to details and willingness to dive deeper into complex databases and sources",None Found,"Support key regulatory model testing, implementation, ongoing performance monitoring, and MRM documentationUse data assets to gain insights into current processes and modelsDrive processing, cleansing, and verifying the integrity of data used for analysisResearch and identify the data gaps, develop and implement remediation plan and assess the model outcome impactLead Data Quality metrics development and monitoring, internal process design and documentationExtend company’s data with third party sources of information when neededData mining, investigation and transformation",None Found,None Found
24,Data Scientist- Analytics,United States,None Found,None Found,"
Ad-hoc analysis
Communication of analysis
Visualization/dashboarding
Metric definition
Data pipeline creation and management",None Found,None Found
25,Data Scientist,United States,None Found,None Found,None Found,None Found,None Found
26,Data Scientist,United States,None Found,None Found,"
Run and statistically evaluate statistical models such as Machine Learning, Optimization, Neural Networks and Artificial Intelligence
Partner with Scrum Masters, Product Owners, Solution architects and peer data scientist and development data engineers to create solutions to meet business and technical opportunities
Understand and communicate technical advantages and tradeoffs between Data Models
Explore and develop new technical skills and industry practices while absorbing professional knowledge quickly and using demonstrated interpersonal skills to be an effective ambassador for IBM Data Science and AI
Use exceptional communication skills and with input from product management, development, and architecture thought leaders, work to deliver high quality end-to-end Solutions at Scale in response to the identified business requirements from our clients; ensure the results are statistically valid",None Found,None Found
27,Data Scientist,"Austin, TX",None Found,None Found,None Found,None Found,None Found
28,Junior Data Scientist,"Bloomington, IN","College Degree, Technical of Quantitative Discipline (Data Science, Mathematics, Statistics, Computer Science)
An advanced understanding of supervised and unsupervised learning techniques including; variable selection, feature engineering, model generation, model diagnostics, and deployment.
Excellent statistical skills that are grounded in a thorough understanding of testing and frequentist/Bayesian methodologies
Prior working experience in design and developing analysis techniques that uncovers patterns, trends and anomalies in large scale data using regression analysis, queue modeling, machine learning, and neural networks
Demonstrable knowledge of data querying & analytics tools, processes & methodologies
Working experience in using cloud environments such as AWS and Azure
Experience in any of the Programming languages: Python, R, Java
Experience in utilizing reporting packages like Tableau
Ability to manage multiple assignments with shifting priorities while meeting deadline",None Found,None Found,None Found,None Found
29,Data Scientist,"Bedford, MA 01730",None Found,None Found,None Found,None Found,None Found
30,2020 Fall Co-Op - Senior Data Scientist,United States,None Found,None Found,"
Implement and validate predictive models; create and maintain statistical models with a focus on big data.
Communicate with internal and external clients to understand business needs and provide analytical solutions.
Use statistical concepts such as regression, time series, mixed model, Bayesian methods, clustering, etc. to analyze data and provide insights.
Work in an Agile, collaborative environment, partnering with other scientists, engineers, and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors.
Data analytics including identifying, retrieving, manipulating, relating and exploiting multiple structured and unstructured data sets from various sources including building or generating new data sets.
Identify, retrieve, manipulate, relate and exploit multiple structured and unstructured data sets from various sources including building or generating new data sets as appropriate.
Create and present materials on data projects, data science architecture and analytics strategies.",None Found,None Found
31,"Data Scientist, Junior","Washington, DC",None Found,None Found,None Found,None Found,None Found
32,Data Scientist Intern,"Stratford, CT 06615","Work on datasets with applied statistics and machine learning algorithmsUse exploratory data analysis techniques to identify meaningful relationships, patterns, or trends from complex data sets and discover opportunities in datasets to support decision-makingDevelop predictive models and new algorithms to solve data / business problemsUnderstand the math and statistics behind the models and interpret, extrapolate, and prescribe from data to deliver actionable recommendations using effective visualizationsVisualize and communicate findings and provide a quantitative framework for evaluating and analyzing alternatives","Descriptive and Predictive modelingMachine Learning (supervised and unsupervised)Advanced statistics and statistical modelingTime series analysis and forecastingOptimization and simulationCommunication, story-telling and visualizationDistributed computing (Hadoop)Importing, cleaning, and transforming datasetsData warehousingCritical thinking & problem-solving skillsData preparation and transformationLanguages: Python, Pig, Hive, Spark, SQL",None Found,None Found,None Found
33,"Internship Data Scientist, Product Analytics, Analytics","New York, NY 10011",None Found,None Found,None Found,None Found,None Found
34,Data Scientist,"New York, NY","
Understanding of machine learning techniques and algorithms, such as: k-NN, Naive Bayes, SVM, Decision Forests, etc.
Some knowledge of common data science toolkits, such as R, Weka, NumPy, MatLab, etc
Data visualization tools, such as D3.js, GGplot, etc.
NoSQL databases, such as MongoDB, Cassandra, HBase, etc.
Statistics skills, such as distributions, statistical testing, regression, etc.
Data-oriented personality
Excellent writing & organizational skills
Independent work ethic
Detail oriented
Strong drive to succeed
Entrepreneurial mindset
Proactive
Good communicator
Team player
Autonomous
Passion for coding, solving problems and working in a team environment
Use a provided online productivity platform to organize and keep track of your completed
tasks.
",None Found,"
Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods
Extending company’s data with third party sources of information when needed
Enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear manner
Creating automated anomaly detection systems and constant tracking of its performance
Stay current on modern trends and advances in data mining technology
Work closely with our experts and other team members to efficiently prototype/develop features and functions for our various products
Perform other duties as assigned
",None Found,None Found
35,Campus Recruiting: Full Time Data Scientist/Data Analytics (Data Analyst 2 - Ecomm),"Sunnyvale, CA 94086",None Found,None Found,None Found,None Found,None Found
36,"Internship Data Scientist, Product Analytics","New York, NY 10011",None Found,None Found,None Found,None Found,None Found
37,Data Scientist,"Bedford, MA 01730",None Found,None Found,None Found,None Found,None Found
38,Junior Data Scientist,United States,None Found,None Found,None Found,None Found,None Found
39,Data Scientist,"Woodcliff Lake, NJ","Masters in Computer Science, Mathematics/Statistics with finance background/forensic/actuary.
2+ years post university experience in advanced analytics in the fields of data science and applying specific data analytics methods in retail/finance/customer and social media as example.
Strong skills in mathematics/statistics or related finance audit and actuary experience will be preferred.
Expert knowledge in conducting statistical analytics (statistical modeling, clustering, predictive analytics).
Expert knowledge in one or more business intelligence and data discovery systems: QlikView, Tableau, MAPD etc.
Advanced knowledge and experience in Computer Science, Machine Learning and Algorithms.
Expert knowledge of in one or more of the following programming languages: Python, Java, C++.
Advanced knowledge in database technologies: SQL, Oracle, SQLServer, SAP HANA and NoSQL databases.
Advanced experience in statistical languages and tools in particular R modules and equivalents.
Advanced experience in Big Data Infrastructures: Hadoop and ecosystem (Hive, HBase, Splunk, Pivotal, Teradata etc.).
Expert ability to manage ETL and data streaming from multiple sources.

",None Found,"Act as a business consultant for the use of Data Analytics to drive business decisions, business strategy.
Translating business needs to technical requirements and implementation.
Do something about cleansing, manipulation, feature extraction and analysis on data sets.
Apply data science approaches and methodologies (such as Neural Nets,
Bayesian methods, SVM etc.) to improve business outcomes.
Initiate ideas and develop related model with R, Python or Scala.
Design elegant data visualizations to present complex analysis and insights to customers with Tableau or other related tools.
Effectively communicate with leadership and other various levels of the organization.
Collaborating actively and effectively with other people to accomplish project objectives.
Develop the data analysis model according to business scenarios.
Evaluate the method and technical solution of data analytics projects.
Share the data science knowledge to other team members and build up the productive internal knowhow.
",None Found,"Masters in Computer Science, Mathematics/Statistics with finance background/forensic/actuary.
2+ years post university experience in advanced analytics in the fields of data science and applying specific data analytics methods in retail/finance/customer and social media as example.
Strong skills in mathematics/statistics or related finance audit and actuary experience will be preferred.
Expert knowledge in conducting statistical analytics (statistical modeling, clustering, predictive analytics).
Expert knowledge in one or more business intelligence and data discovery systems: QlikView, Tableau, MAPD etc.
Advanced knowledge and experience in Computer Science, Machine Learning and Algorithms.
Expert knowledge of in one or more of the following programming languages: Python, Java, C++.
Advanced knowledge in database technologies: SQL, Oracle, SQLServer, SAP HANA and NoSQL databases.
Advanced experience in statistical languages and tools in particular R modules and equivalents.
Advanced experience in Big Data Infrastructures: Hadoop and ecosystem (Hive, HBase, Splunk, Pivotal, Teradata etc.).
Expert ability to manage ETL and data streaming from multiple sources.

"
40,Data Scientist,"Chicago, IL 60611",None Found,None Found,None Found,None Found,"
R
SQL
Machine Learning"
41,Data Scientist - Agriculture Commodity Research Engine (ACRE),"Denver, CO","Degree in a quantitative discipline (degree examples include computer science, statistics, data science, economics, mathematics, geography, plant biology, crop science, agronomy)
Prior project or work experience, and/or a professional or advanced degree (MA, PhD, M.B.A.) is beneficial
Strong problem solving and programing skills, with the ability to develop creative, efficient, and well-documented coding solutions
Enthusiasm in dealing with data challenges: from large-scale (requiring big-data and parallelization techniques), to sparse or poor-quality (requiring data engineering)
Experience developing, implementing, and evaluating statistical, machine learning, or geospatial models a plus
Experience leveraging time series, geospatial, weather, agricultural, or trading/price-discovery data a plus
Comfortable explaining and translating technical techniques and results to a variety of audiences
Self-management skills and ability to work as part of an Agile team
Strong multitasking and parallel development abilities
Passion for problem solving on a global scale
Strong interpersonal communication skills
Creative and willing to take intellectual risks
",None Found,None Found,None Found,None Found
42,Junior Data Scientist,United States,None Found,None Found,None Found,None Found,None Found
43,Data Scientist,"New York, NY",None Found,None Found,None Found,None Found,None Found
44,Data Scientist,"Denver, CO",None Found,None Found,"Responsible for the development and integration of new or existing applications into the technical infrastructure and existing business processes;Provide technical or functional guidance to project or work teams as needed within a specific discipline;Collaborate on an on-going basis with the Business Systems Analyst;Analyze, design, develop, test, debug, implement, maintain and/or enhance existing or new systems that are reliable and efficient;Extend company’s data with third party sources of information when needed;Enhance data collection procedures to include information that is relevant for building analytic systems;Verify integrity of data used for analysis;Do ad-hoc analysis and present results in a clear manner;Create automated anomaly detection systems.",None Found,"Experience working as an IT Data Scientist (5+ years);Experience with common data science toolkits, such as R, MatLab, etc;Experience with data visualisation tools, such as PowerBI and others;Experience using query languages such as SQL, Hive, etc;Experience with NoSQL databases, such as MongoDB, HBase, etc;Bachelor’s degree (required)."
45,Data Scientist,"New York, NY",None Found,None Found,None Found,None Found,"Advanced Degree(s) in mathematics and/or computer science, or at least four years of relevant experience
Previous work experience a big plus, especially R experience
Experience with a range of data science techniques including clustering, machine learning, natural language processing, and network analysis
Enthusiasm for learning new techniques and technologies to solve hard problems
"
46,Data Scientist - University Students,"Boston, MA","University student in their final year in a STEM related field (Ops Research, Statistics, Applied Math, Engineering, Business Analytics); expected graduation date of December 2019 or May 2020. Or, currently completing your first year in a non-business, 2-year masters program and have less than 2 years of work experience
Deep understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering and classification techniques, and recommendation and optimization algorithms
Experience in one or more programming languages (R, Python, C++, etc.)
Ability to easily understand the complex algorithm and logic to process data
Experience working with a large volume of data with ability to solve performance issues
Practitioner of statistical data quality procedures or test driven approach for quality assurance
Basic business intuition and clear expertise in analyses with the ability to describe analytic processes, including when and why specific approaches are favored
Excellent communication and presentation skills with an ability to visualize and report insights creatively in variety of formats to various stakeholders
Ability to deliver in deadline-driven environment
Team player with a passion for coaching colleagues and clients
Willingness to travel up to 80%",None Found,None Found,None Found,None Found
47,Data Scientist,"Seattle, WA",None Found,None Found,None Found,None Found,None Found
48,DATA SCIENTIST,"Seattle, WA",None Found,None Found,None Found,None Found,None Found
49,Junior Data Scientist,"Bloomington, IN","College Degree, Technical of Quantitative Discipline (Data Science, Mathematics, Statistics, Computer Science)
An advanced understanding of supervised and unsupervised learning techniques including; variable selection, feature engineering, model generation, model diagnostics, and deployment.
Excellent statistical skills that are grounded in a thorough understanding of testing and frequentist/Bayesian methodologies
Prior working experience in design and developing analysis techniques that uncovers patterns, trends and anomalies in large scale data using regression analysis, queue modeling, machine learning, and neural networks
Demonstrable knowledge of data querying & analytics tools, processes & methodologies
Working experience in using cloud environments such as AWS and Azure
Experience in any of the Programming languages: Python, R, Java
Experience in utilizing reporting packages like Tableau
Ability to manage multiple assignments with shifting priorities while meeting deadline",None Found,None Found,None Found,None Found
50,Data Scientist,"New York, NY 10019",None Found,"3-5 years prior experienceDegree in Computer ScienceMust have experience in the following: Python, SQL (Postgres , Microsoft SQL) , R, Excel, data visualization tools (python/R, Tableau, Power BI)Heroku, Salesforce experience helpfulDetail oriented with strong organizational/project-management skillsExcellent verbal and written communication skills","Collaborate with various internal teams to execute on projects involving automated processesEvaluate data vendors and work on data strategyCreate ETL processes for periodic updates from external data sourcesDocument project work in interactive notebooks like Jupyter notebookWork on predictive models to analyze rent, property income, vacancy rate, etc.Create data pipelines for our internal tools and applicationsCollaboratively work with the other team members",None Found,None Found
51,Data Scientist,United States,None Found,None Found,None Found,None Found,None Found
52,Data Scientist,"Denver, CO 80202","5+ years of professional experience as a data scientist or related rolesAdvanced degree or equivalent experience in a quantitative discipline.Strong STEM backgroundHands on experience in Machine Learning, Statistical Modeling, Quantitative Analysis, Forecasting, Data VisualizationStrong knowledge and high proficiency in SAS, SQL, Python, etc.Attention to details and willingness to dive deeper into complex databases and sources",None Found,"Support key regulatory model testing, implementation, ongoing performance monitoring, and MRM documentationUse data assets to gain insights into current processes and modelsDrive processing, cleansing, and verifying the integrity of data used for analysisResearch and identify the data gaps, develop and implement remediation plan and assess the model outcome impactLead Data Quality metrics development and monitoring, internal process design and documentationExtend company’s data with third party sources of information when neededData mining, investigation and transformation",None Found,None Found
53,Data Scientist,"Springfield, VA 22150",None Found,None Found,None Found,None Found,None Found
54,Data Scientist,"New York, NY 10019",None Found,"3-5 years prior experienceDegree in Computer ScienceMust have experience in the following: Python, SQL (Postgres , Microsoft SQL) , R, Excel, data visualization tools (python/R, Tableau, Power BI)Heroku, Salesforce experience helpfulDetail oriented with strong organizational/project-management skillsExcellent verbal and written communication skills","Collaborate with various internal teams to execute on projects involving automated processesEvaluate data vendors and work on data strategyCreate ETL processes for periodic updates from external data sourcesDocument project work in interactive notebooks like Jupyter notebookWork on predictive models to analyze rent, property income, vacancy rate, etc.Create data pipelines for our internal tools and applicationsCollaboratively work with the other team members",None Found,None Found
55,"Data Scientist, People Analytics","South San Francisco, CA 94083",None Found,None Found,None Found,None Found,None Found
56,2020 Intern - Data Scientist Intern/Coop (EO&S),"Research Triangle Park, NC",None Found,None Found,"Familiarity with Agile methodologies and principles
Knowledge of applying advanced analytic methods to diverse large data sets
Familiarity with machine learning techniques
Real-world problem-solving experience & discovery skills
Science, Statistics or related Engineering fields
Excellent verbal and written communication skills
Demonstrated ability to work in cross-functional teams
Excel, analytical, modelling, and due diligence skills
Proven ability to multi-task without sacrificing quality or deadlines on individual projects
Self-directed, detail-oriented and a team player
Awareness of the value in using consistent processes and policies an understanding and proficiency in technical areas such as basic programming (Python, Java, etc), APIs, advanced analytics, process modelling process minded, good presentation and communication skills",None Found,None Found
57,Data Scientist,"New York, NY",None Found,None Found,None Found,None Found,None Found
58,Data Scientist,"Broomfield, CO 80021",None Found,None Found,None Found,None Found,None Found
59,Data Scientist I,"Durham, NC","
Requires a Bachelor’s degree in Physics, Chemistry, biology, natural resources, or a related scientific discipline and 4-6 years of experience.","
Excellent verbal, oral, interpersonal, and written communication skills
Strong analytical, problem-solving, and decision-making capabilities
Ability to be flexible, multi-task, prioritize, and manage multiple activities simultaneously in a fast-paced, changing environment
Strong team player with the ability to both collaborate and to take initiative and work well independently
Superior attention to detail and the ability to meet stringent deadlines","
Perform sample collection and analyses during the experiments.
Operate equipment, observe significant events that affect results, and suggest modifications to experimental designs and/or equipment configurations.
Maintain and repair experimental equipment and ancillary devices. Make alterations as required to improve equipment operation or investigate additional parameters that may affect the evaluation of the process.
Evaluate data acquired and prepare reports documenting the operation of the test equipment, the results obtained, and the quality of the results. The reports shall include any tables, charts, graphs, drawings, or appendices necessary to fully explain the experiments performed, shall clearly document the results, and shall identify and support the quality of data included.
Conduct experiments related to the evaluation of sampling (surface and air) and analytical techniques for the measurement of chemical, biological, and radiological agents; and experiments related to the fate and transport of such agents.
Maintain and repair pumps, fans, controllers, and other associated equipment, as needed
Develop test plans to meet research objectives, review execution of such plans, evaluate data, and report results.
Modify bench, pilot, and full-scale installation configurations and install test equipment as required by research objectives.
Conduct field evaluations of various types of pollutant collection, measuring, and/or monitoring instruments and methods. This may include operating and maintaining a field evaluation facility for this purpose. Most such field evaluations are expected to be in the local RTP area; however, field evaluations at non-local locations may be required on occasion.",None Found,None Found
